,Discriminacao,Dificuldade,Adivinhacao
V1,1.238,-2.142,0.064
V2,-1.680,-7.871,0.053
V3,1.248,5.601,0.006
V4,1.969,1.394,0.191
V5,3.137,-2.047,0.402
V6,3.346,-2.166,0.038
V7,6.750,-0.722,0.090
V8,3.085,-1.963,0.523
V9,1.309,-1.964,0.050
V10,1.749,-1.862,0.033
V11,2.297,-0.763,0.173
V12,4.047,-0.352,0.456
V13,2.733,-2.466,0.070
V14,1.003,-5.428,0.164
V15,5.014,1.510,0.053
V16,4.500,-2.150,0.289
V17,6.489,-1.477,0.183
V18,-0.811,-6.098,0.093
V19,7.342,-0.853,0.417
V20,-0.073,-119.860,0.075
V21,2.082,-1.766,0.195
V22,3.347,-2.166,0.038
V23,5.040,0.655,0.032
V24,1.209,-1.736,0.029
V25,3.105,-2.657,0.641
V26,1.030,-2.557,0.065
V27,4.252,-2.674,0.052
V28,2.735,-2.464,0.071
V29,0.857,-2.636,0.053
V30,1.476,-2.645,0.057
V31,3.306,-2.655,0.058
V32,3.772,-2.664,0.056
V33,0.136,4.190,0.119
V34,3.652,-2.662,0.057
V35,3.301,0.348,0.424
V36,1.275,-2.788,0.055
V37,3.736,-2.917,0.054
V38,3.139,-2.180,0.124
V39,3.799,-1.698,0.061
V40,1.983,-1.826,0.093
V41,2.141,-3.038,0.087
V42,1.750,-2.525,0.060
V43,7.428,-1.471,0.184
V44,2.055,-0.632,0.080
V45,1.881,-3.736,0.102
V46,3.031,-2.290,0.058
V47,0.995,-5.582,0.087
V48,3.348,-2.166,0.038
V49,1.282,-2.435,0.052
V50,5.256,-2.596,0.041
V51,5.780,1.879,0.101
V52,3.436,-2.223,0.118
V53,3.176,-2.825,0.047
V54,0.776,-4.303,0.077
V55,1.562,-1.963,0.032
V56,4.292,-2.897,0.047
V57,0.654,-0.681,0.034
V58,0.400,-3.688,0.086
V59,0.968,-2.249,0.059
V60,6.655,1.508,0.141
V61,4.824,1.033,0.065
V62,5.011,-2.470,0.045
V63,3.412,0.649,0.007
V64,4.964,-2.163,0.535
V65,3.348,-2.166,0.038
V66,2.863,-2.017,0.616
V67,3.884,-1.985,0.018
V68,3.739,-2.395,0.646
V69,1.920,-4.322,0.121
V70,6.785,-1.472,0.183
V71,6.294,-2.163,0.105
V72,3.804,-1.697,0.061
V73,4.847,-2.136,0.192
V74,4.138,-2.197,0.610
V75,1.623,-0.519,0.056
V76,5.085,-2.777,0.041
V77,1.494,-0.283,0.035
V78,3.652,-2.662,0.057
V79,5.011,-2.470,0.045
V80,3.447,-3.349,0.050
V81,1.721,-1.440,0.037
V82,-0.018,9.906,0.127
V83,1.094,-2.603,0.078
V84,1.006,-5.409,0.167
V85,4.668,-2.886,0.042
V86,4.668,-2.886,0.042
V87,2.744,-2.457,0.072
V88,2.779,-2.668,0.062
V89,5.011,-2.686,0.042
V90,2.745,-2.456,0.072
V91,4.842,-2.173,0.290
V92,4.972,-2.586,0.044
V93,1.179,-2.252,0.041
V94,5.085,-2.777,0.041
V95,1.437,-2.020,0.041
V96,1.095,-0.290,0.132
V97,4.743,-1.506,0.014
V98,1.762,0.012,0.019
V99,3.611,-0.842,0.092
V100,3.031,-0.845,0.014
V101,1.828,-0.141,0.016
V102,3.107,-2.656,0.641
V103,3.350,-2.167,0.038
V104,2.141,-3.040,0.088
V105,4.714,-2.682,0.045
V106,0.893,-3.213,0.067
V107,3.807,-1.696,0.061
V108,5.011,-2.686,0.042
V109,2.748,-2.453,0.072
V110,1.883,-3.733,0.104
V111,2.289,-2.855,0.085
V112,2.141,-3.041,0.089
V113,3.351,-2.167,0.038
V114,1.892,1.147,0.259
V115,1.074,-1.826,0.063
V116,2.528,-2.613,0.081
V117,3.455,-2.790,0.057
V118,1.385,-2.687,0.068
V119,5.011,-2.686,0.042
V120,4.152,-2.782,0.050
V121,5.807,-2.204,0.545
V122,3.811,-1.696,0.061
V123,0.989,-2.196,0.059
V124,2.753,-2.450,0.073
V125,1.992,-3.324,0.095
V126,3.352,-2.167,0.038
V127,2.825,-3.472,0.058
V128,4.152,-2.782,0.050
V129,3.031,-2.294,0.058
V130,2.755,-2.448,0.073
V131,4.465,-2.678,0.048
V132,5.228,0.671,0.103
V133,4.972,-2.587,0.044
V134,1.188,0.111,0.035
V135,1.321,-1.532,0.019
V136,4.372,0.386,0.006
V137,4.714,-2.682,0.046
V138,1.422,-1.675,0.029
V139,1.449,-1.553,0.203
V140,3.987,-2.907,0.050
V141,2.378,1.471,0.006
V142,4.454,1.798,0.120
V143,3.345,-2.190,0.126
V144,1.798,-2.265,0.088
V145,2.124,-1.431,0.016
V146,3.772,-2.664,0.056
V147,0.216,-5.067,0.092
V148,1.465,0.481,0.012
V149,0.394,-3.486,0.072
V150,5.238,-2.483,0.042
V151,6.472,2.024,0.001
V152,1.809,-1.570,0.017
V153,3.887,2.316,0.102
V154,1.885,-3.731,0.105
V155,4.392,-2.150,0.406
V156,4.407,-2.780,0.048
V157,2.690,0.985,0.032
V158,2.756,-2.447,0.073
V159,1.677,-1.490,0.084
V160,-0.900,-5.994,0.001
V161,1.408,-1.989,0.070
V162,3.751,-2.785,0.055
V163,-0.216,-3.757,0.121
V164,3.353,-2.167,0.038
V165,1.342,-2.566,0.047
V166,8.077,-0.767,0.091
V167,2.295,-2.849,0.087
V168,1.995,-3.319,0.096
V169,0.469,-1.994,0.061
V170,3.353,-2.168,0.038
V171,1.748,1.524,0.109
V172,0.122,-7.131,0.103
V173,0.750,1.293,0.014
V174,2.758,-2.446,0.074
V175,2.296,-2.847,0.088
V176,1.431,-2.482,0.060
V177,3.683,-3.073,0.052
V178,0.954,-2.561,0.059
V179,2.502,-0.227,0.138
V180,0.491,-1.873,0.054
V181,3.199,-2.352,0.637
V182,4.889,1.587,0.078
V183,1.037,3.104,0.039
V184,5.830,1.853,0.032
V185,2.531,-2.611,0.083
V186,0.408,-2.508,0.072
V187,1.256,-3.011,0.061
V188,2.142,-3.041,0.091
V189,2.871,0.978,0.009
V190,0.363,-1.979,0.064
V191,5.672,1.627,0.217
V192,2.826,1.424,0.005
V193,1.202,-2.004,0.032
V194,3.936,-2.784,0.053
V195,0.156,6.858,0.189
V196,1.837,-0.744,0.167
V197,0.950,-0.499,0.044
V198,2.531,-2.611,0.083
V199,2.103,-1.382,0.136
V200,4.038,-3.046,0.047
V201,1.516,-2.445,0.050
V202,2.606,-1.485,0.015
V203,2.298,-2.845,0.088
V204,3.354,-2.168,0.038
V205,4.705,-2.249,0.611
V206,4.197,-2.555,0.053
V207,2.941,0.872,0.043
V208,4.465,-2.678,0.049
V209,2.665,0.621,0.011
V210,4.069,-2.670,0.053
