,Discriminacao,Dificuldade,Adivinhacao
V1,24.499,-0.037,0.061
V2,3.738,-0.121,0.000
V3,3.431,-0.366,0.000
V4,5.099,-0.391,0.000
V5,-3.865,-0.180,0.000
V6,32.161,-0.008,0.000
V7,-3.923,-0.201,0.000
V8,3.765,-0.396,0.006
V9,22.367,-0.030,0.020
V10,46.732,0.005,0.000
V11,3.650,0.020,0.000
V12,-4.441,-0.314,0.000
V13,36.895,0.006,0.020
V14,-3.189,0.066,0.000
V15,-5.008,-0.204,0.000
V16,5.531,-0.269,0.000
V17,-41.263,-0.004,0.000
V18,23.489,-0.042,0.000
V19,-4.525,-0.035,0.000
V20,-3.778,-0.141,0.000
V21,-53.017,-0.004,0.057
V22,18.199,-0.053,0.020
V23,-3.106,-0.251,0.000
V24,-3.219,-0.300,0.000
V25,-3.322,-0.178,0.000
V26,21.195,-0.024,0.000
V27,-38.341,-0.011,0.000
V28,-3.987,-0.219,0.000
V29,21.488,-0.049,0.041
V30,-29.691,-0.008,0.000
V31,-24.703,-0.028,0.000
V32,3.282,-0.323,0.000
V33,-36.948,-0.005,0.000
V34,-46.616,0.001,0.029
V35,5.238,-0.236,0.000
V36,-60.967,0.008,0.000
V37,-49.117,0.000,0.000
V38,3.588,-0.283,0.000
V39,-3.321,-0.178,0.000
V40,57.895,0.019,0.000
V41,-26.979,-0.016,0.000
V42,-3.868,-0.179,0.000
V43,21.643,-0.051,0.000
V44,-4.519,-0.001,0.000
V45,37.398,-0.018,0.020
V46,33.345,-0.013,0.000
V47,44.567,-0.004,0.000
V48,-3.282,-0.323,0.000
V49,-51.796,0.002,0.000
V50,6.402,-0.339,0.000
V51,29.794,-0.008,0.000
V52,34.743,-0.016,0.020
V53,37.305,-0.002,0.000
V54,24.985,-0.040,0.000
V55,43.675,-0.003,0.020
V56,-4.087,0.234,0.000
V57,-47.492,-0.002,0.000
V58,5.380,-0.253,0.000
V59,54.442,0.009,0.000
V60,-3.666,-0.062,0.000
V61,30.562,-0.049,0.082
V62,40.406,0.004,0.000
V63,-30.482,-0.020,0.000
V64,4.445,-0.314,0.000
V65,5.391,-0.252,0.000
V66,41.856,0.010,0.000
V67,3.259,-0.133,0.000
V68,3.214,-0.405,0.000
V69,-3.194,-0.065,0.000
V70,29.762,-0.017,0.000
V71,-5.127,-0.220,0.000
V72,26.588,-0.040,0.020
V73,3.746,-0.323,0.000
V74,29.333,-0.033,0.020
V75,6.394,-0.339,0.000
V76,-55.121,0.005,0.029
V77,5.534,-0.269,0.000
V78,3.124,-0.473,0.000
V79,4.769,-0.153,0.000
V80,3.393,-0.453,0.000
V81,21.607,-0.038,0.041
V82,-44.057,-0.001,0.057
V83,-18.800,-0.071,0.000
V84,-4.087,0.234,0.000
V85,3.773,-0.521,0.000
V86,-3.923,-0.201,0.000
V87,24.001,-0.033,0.000
V88,-41.269,-0.004,0.000
V89,42.160,-0.007,0.020
V90,57.782,0.011,0.020
V91,41.348,0.000,0.000
V92,32.754,-0.026,0.020
V93,33.231,-0.014,0.020
V94,-3.181,-0.047,0.000
V95,5.529,-0.268,0.000
V96,4.521,0.017,0.000
V97,3.714,0.098,0.000
V98,5.349,-0.410,0.000
V99,-2.960,-0.169,0.000
V100,-45.027,0.003,0.029
V101,-5.119,-0.220,0.000
V102,-2.849,-0.271,0.000
V103,18.118,-0.044,0.000
V104,5.239,-0.236,0.000
V105,28.384,-0.022,0.041
V106,-42.076,-0.008,0.000
V107,-41.764,-0.014,0.000
V108,-46.063,-0.005,0.000
V109,3.207,-0.299,0.000
V110,4.578,0.067,0.000
V111,19.682,-0.040,0.000
V112,-40.182,0.000,0.000
V113,-4.665,-0.121,0.000
V114,-51.418,0.000,0.000
V115,4.295,-0.296,0.000
V116,-3.742,-0.121,0.000
V117,39.683,-0.004,0.000
V118,-43.173,-0.010,0.000
V119,-55.190,0.008,0.000
V120,-35.840,-0.014,0.000
V121,18.316,-0.041,0.020
V122,-54.071,0.007,0.029
