Metodo,Acuracia
GaussianNB,0.5998131692868535
BernoulliNB,0.48356573251310087
KNeighborsClassifier(2),0.6588926862611073
KNeighborsClassifier(3),0.704151287309182
KNeighborsClassifier(5),0.7274891774891776
KNeighborsClassifier(8),0.7408430166324903
DecisionTreeClassifier(),0.7103691045796309
RandomForestClassifier(3_estimators),0.5674117110959216
RandomForestClassifier(5_estimators),0.5926475279106859
RandomForestClassifier,0.6021645021645021
SVM,0.48356573251310087
MLPClassifier,0.5030963773069036
rand1,0.49101796407185627
rand2,0.5129740518962076
rand3,0.5089820359281437
majoritario,0.499001996007984
minoritario,0.499001996007984
pessimo,0.0
otimo,1.0
