Metodo,Acuracia
GaussianNB,0.5948103792415169
BernoulliNB,0.500998003992016
KNeighborsClassifier(2),0.6586826347305389
KNeighborsClassifier(3),0.7005988023952096
KNeighborsClassifier(5),0.7305389221556886
KNeighborsClassifier(8),0.7385229540918163
DecisionTreeClassifier(),0.780439121756487
RandomForestClassifier(3_estimators),0.5768463073852296
RandomForestClassifier(5_estimators),0.5808383233532934
RandomForestClassifier,0.5828343313373253
SVM,0.500998003992016
MLPClassifier,0.5069860279441117
rand1,0.49101796407185627
rand2,0.5129740518962076
rand3,0.5089820359281437
majoritario,0.499001996007984
minoritario,0.499001996007984
pessimo,0.0
otimo,1.0
