Clf,Score
GaussianNB,115.36723560924256
MLPClassifier,115.36723560924256
majoritario,115.36723560924256
minoritario,115.36723560924256
KNeighborsClassifier(3),134.30119918759794
KNeighborsClassifier(5),139.90746540215525
KNeighborsClassifier(8),140.32975363883034
DecisionTreeClassifier(),151.7757568475887
RandomForestClassifier(5_estimators),160.38488704138672
otimo,161.1659085603826
RandomForestClassifier(3_estimators),162.773647039818
RandomForestClassifier,166.47477537369045
KNeighborsClassifier(2),166.62537027072472
rand3,176.86388020096396
rand1,184.60262655727794
rand2,190.0914458536881
pessimo,197.04706688045806
BernoulliNB,244.96202235595536
SVM,244.96202235595536
