Clf,Score
BernoulliNB,256.3003470244255
SVM,256.3003470244255
pessimo,264.21948223637713
rand2,266.79212726662314
rand1,269.00599652152744
rand3,272.14141374156225
KNeighborsClassifier(2),275.85431554833207
RandomForestClassifier,275.90295479859253
RandomForestClassifier(3_estimators),277.034132448244
otimo,277.48581631440254
RandomForestClassifier(5_estimators),277.69634053042535
GaussianNB,279.092900205437
MLPClassifier,279.092900205437
majoritario,279.092900205437
minoritario,279.092900205437
DecisionTreeClassifier(),279.6230272282358
KNeighborsClassifier(8),281.03063896411595
KNeighborsClassifier(5),281.0562708938909
KNeighborsClassifier(3),281.2110712206856
