Clf,Theta
GaussianNB,-0.055142777660373045
BernoulliNB,0.48613624022605567
KNeighborsClassifier(2),-0.003389765692025653
KNeighborsClassifier(3),-0.033493253259509456
KNeighborsClassifier(5),-0.027907211236832652
KNeighborsClassifier(8),-0.027496991580122653
DecisionTreeClassifier(),-0.016790836650872127
RandomForestClassifier(3_estimators),-0.006880901231839605
RandomForestClassifier(5_estimators),-0.009031069464165592
RandomForestClassifier,-0.003527077892878303
SVM,0.48613624022605567
MLPClassifier,-0.055142777660373045
rand1,0.014041283614197283
rand2,0.02007214935914243
rand3,0.006215486819541958
majoritario,-0.055142777660373045
minoritario,-0.055142777660373045
pessimo,0.028588790829284196
otimo,-0.008328799492068169
