,Discriminacao,Dificuldade,Adivinhacao
V1,0.810,-2.059,0.011
V2,3.452,-2.607,0.101
V3,0.840,-3.817,0.023
V4,0.131,11.510,0.058
V5,1.720,-2.392,0.122
V6,0.505,-1.762,0.055
V7,0.736,0.119,0.005
V8,0.172,1.596,0.063
V9,0.533,-2.512,0.025
V10,1.766,-0.371,0.352
V11,1.546,-1.138,0.336
V12,0.836,-1.401,0.011
V13,1.085,-1.267,0.197
V14,2.588,-0.961,0.621
V15,0.790,-0.957,0.041
V16,0.957,-1.456,0.005
V17,0.130,5.312,0.041
V18,0.861,-1.537,0.018
V19,2.497,-0.698,0.564
V20,1.892,-1.603,0.005
V21,6.983,-1.601,0.343
V22,1.225,-1.159,0.146
V23,5.294,-1.426,0.337
V24,2.143,-1.997,0.132
V25,3.286,-0.533,0.340
V26,3.119,-1.150,0.245
V27,1.274,-3.941,0.019
V28,0.496,0.533,0.004
V29,3.446,-2.608,0.100
V30,0.759,-0.641,0.079
V31,3.827,-2.746,0.269
V32,1.157,-1.383,0.096
V33,1.656,-2.973,0.007
V34,0.467,0.941,0.033
V35,1.107,-1.685,0.171
V36,2.796,-0.974,0.510
V37,2.341,-1.397,0.211
V38,0.707,-1.892,0.006
V39,1.283,-3.332,0.020
V40,0.589,-2.029,0.027
V41,1.588,-1.794,0.004
V42,1.273,1.066,0.377
V43,1.000,-1.873,0.005
V44,0.868,-0.493,0.086
V45,1.175,-1.769,0.003
V46,2.683,-2.165,0.125
V47,1.588,-3.755,0.014
V48,0.618,-2.074,0.015
V49,1.678,-1.747,0.009
V50,2.379,-2.344,0.184
V51,2.314,-2.841,0.259
V52,1.549,-0.079,0.358
V53,4.214,-1.179,0.287
V54,0.940,-2.424,0.014
V55,1.135,-1.437,0.198
V56,0.804,-2.633,0.071
V57,0.903,-0.662,0.093
V58,1.085,-2.720,0.019
V59,0.531,-2.915,0.013
V60,1.169,-1.215,0.084
V61,-0.141,-16.203,0.127
V62,1.462,-1.894,0.110
V63,0.720,-1.931,0.009
V64,1.337,-2.517,0.104
V65,1.718,-2.156,0.273
V66,2.165,-2.422,0.108
V67,1.028,-2.147,0.005
V68,1.958,-0.610,0.543
V69,0.862,-1.973,0.014
