Metodo,Acuracia
GaussianNB,0.9173333333333333
BernoulliNB,0.4133333333333334
KNeighborsClassifier(2),0.9400000000000001
KNeighborsClassifier(3),0.9479999999999998
KNeighborsClassifier(5),0.9426666666666668
KNeighborsClassifier(8),0.9406666666666667
DecisionTreeClassifier(),0.8806666666666667
RandomForestClassifier(3_estimators),0.8826666666666666
RandomForestClassifier(5_estimators),0.9193333333333333
RandomForestClassifier,0.938
SVM,0.08733333333333335
MLPClassifier,0.8926666666666667
rand1,0.098
rand2,0.116
rand3,0.084
majoritario,0.1
minoritario,0.1
pessimo,0.0
otimo,1.0
