Clf,Score
rand3,68.16809407330287
pessimo,68.16809407330287
rand2,101.45984496514652
rand1,126.06690483752101
majoritario,129.0436864726946
minoritario,129.0436864726946
BernoulliNB,255.018500840948
SVM,447.14040766320255
GaussianNB,459.15621769989497
MLPClassifier,461.96852449783194
RandomForestClassifier(3_estimators),465.6441978584041
RandomForestClassifier(5_estimators),465.6462137476618
DecisionTreeClassifier(),467.1339373687931
KNeighborsClassifier(8),471.69721822131436
KNeighborsClassifier(3),475.0264612509186
KNeighborsClassifier(5),475.5781481219581
KNeighborsClassifier(2),477.87371116701473
RandomForestClassifier,480.838317789443
otimo,494.3179601702427
