Clf,Score
rand3,70.44003777355805
pessimo,70.44003777355805
rand2,102.99787618739428
rand1,127.51109322272426
majoritario,130.48115333705877
minoritario,130.48115333705877
BernoulliNB,256.34631714189055
SVM,448.36891234987945
GaussianNB,460.37086161077366
MLPClassifier,463.17927542834656
RandomForestClassifier(3_estimators),466.8494278151691
RandomForestClassifier(5_estimators),466.8514405381506
DecisionTreeClassifier(),468.3367826997371
KNeighborsClassifier(8),472.8919464569856
KNeighborsClassifier(3),476.2138268507918
KNeighborsClassifier(5),476.7641246143514
KNeighborsClassifier(2),479.0532770736462
RandomForestClassifier,482.0076409293434
otimo,495.1645382301848
