,Discriminacao,Dificuldade,Adivinhacao
V1,1.014,-2.785,0.061
V2,2.015,-3.025,0.070
V3,2.015,-3.025,0.070
V4,-0.199,-13.732,0.078
V5,0.500,11.217,0.002
V6,1.805,-3.769,0.073
V7,6.835,-0.519,0.298
V8,6.534,-0.419,0.376
V9,1.375,-0.705,0.037
V10,-0.288,-2.522,0.047
V11,3.289,0.784,0.205
V12,1.022,-2.889,0.060
V13,5.086,-0.576,0.018
V14,3.398,-1.629,0.030
V15,0.037,42.541,0.197
V16,6.780,-0.325,0.284
V17,-0.213,-11.986,0.084
V18,5.499,-2.183,0.160
V19,0.177,5.561,0.174
V20,7.545,-0.708,0.017
V21,1.727,-0.528,0.045
V22,2.605,-0.282,0.175
V23,-0.406,-7.290,0.016
V24,1.804,-3.770,0.074
V25,-0.089,-56.527,0.056
V26,-0.195,-27.755,0.017
V27,1.774,-2.151,0.041
V28,1.479,1.101,0.170
V29,2.015,-3.026,0.070
V30,3.301,-1.834,0.030
V31,2.366,-2.656,0.163
V32,4.458,-0.493,0.063
V33,1.301,-3.622,0.048
V34,2.806,1.028,0.118
V35,3.936,1.605,0.203
V36,0.347,8.193,0.127
V37,1.409,-3.229,0.043
V38,5.560,-0.674,0.234
V39,5.409,-0.839,0.093
V40,1.587,-2.272,0.039
V41,6.537,-0.704,0.060
V42,-0.321,-4.655,0.026
V43,6.013,-1.004,0.024
V44,-0.070,-84.836,0.019
V45,-0.086,-13.577,0.323
V46,2.350,-1.380,0.027
V47,8.554,-0.871,0.017
V48,3.286,-1.093,0.235
V49,3.977,-1.191,0.100
V50,1.970,-2.603,0.038
V51,-1.344,-4.513,0.016
V52,6.007,0.646,0.061
V53,3.676,-1.459,0.029
V54,1.608,-1.201,0.172
V55,-1.103,-5.477,0.002
V56,2.015,-3.027,0.070
V57,3.738,-2.875,0.211
V58,4.105,-1.714,0.219
V59,2.027,-1.927,0.029
V60,0.731,3.054,0.074
V61,-0.545,-6.146,0.009
V62,2.027,-2.124,0.029
V63,1.193,-2.927,0.051
V64,1.878,-2.384,0.034
V65,4.216,-1.446,0.334
V66,1.320,-1.847,0.034
V67,0.725,-1.458,0.175
V68,2.362,-1.064,0.034
V69,2.367,-0.489,0.051
V70,1.828,2.781,0.236
V71,1.580,1.329,0.180
V72,3.531,-0.553,0.019
V73,2.758,-1.560,0.030
V74,1.803,-3.774,0.074
V75,5.874,0.678,0.048
V76,-0.131,-15.328,0.051
V77,-0.174,-7.241,0.038
V78,-0.206,-10.460,0.032
V79,1.044,-1.237,0.060
V80,3.758,-1.891,0.024
V81,1.803,-3.774,0.074
V82,2.015,-3.028,0.070
V83,2.410,-0.678,0.357
V84,2.721,-2.449,0.042
V85,-0.396,-7.253,0.020
V86,-0.092,0.514,0.106
V87,4.479,-0.749,0.018
V88,2.360,-2.778,0.050
V89,3.423,-2.087,0.032
V90,2.219,-2.195,0.141
V91,0.614,12.368,0.038
V92,-0.114,-16.898,0.174
V93,-0.223,-3.866,0.053
V94,0.609,-2.277,0.056
V95,2.979,-2.204,0.081
V96,5.349,-0.478,0.452
V97,1.227,-3.146,0.047
V98,1.165,-1.188,0.132
V99,4.665,-1.282,0.327
V100,4.818,-0.008,0.167
V101,3.423,-2.087,0.032
V102,3.545,-0.552,0.019
V103,5.601,-0.958,0.087
V104,1.105,-3.049,0.056
V105,2.225,-2.683,0.079
V106,-0.578,-7.083,0.049
