Metodo,Acuracia
GaussianNB,0.7646666666666667
BernoulliNB,0.06
KNeighborsClassifier(2),0.8173333333333334
KNeighborsClassifier(3),0.836
KNeighborsClassifier(5),0.8373333333333332
KNeighborsClassifier(8),0.8333333333333334
DecisionTreeClassifier(),0.7240000000000001
RandomForestClassifier(3_estimators),0.6719999999999999
RandomForestClassifier(5_estimators),0.728
RandomForestClassifier,0.7906666666666669
SVM,0.48133333333333334
MLPClassifier,0.82
rand1,0.11
rand2,0.1
rand3,0.088
majoritario,0.1
minoritario,0.1
pessimo,0.0
otimo,1.0
