,Discriminacao,Dificuldade,Adivinhacao
V1,2.015,0.641,0.365
V2,2.771,-1.443,0.107
V3,6.571,-0.734,0.221
V4,6.097,0.127,0.321
V5,2.449,-2.557,0.151
V6,4.527,-1.754,0.120
V7,4.100,-1.746,0.017
V8,3.822,-2.464,0.045
V9,3.789,-2.184,0.047
V10,2.618,-2.524,0.102
V11,4.305,-2.499,0.042
V12,3.521,-2.436,0.049
V13,4.028,-2.220,0.044
V14,5.205,-2.324,0.045
V15,3.823,-2.464,0.046
V16,2.045,-1.966,0.089
V17,3.319,-1.031,0.091
V18,2.881,0.512,0.019
V19,6.460,-0.735,0.222
V20,5.865,-1.066,0.230
V21,-0.365,-7.260,0.091
V22,6.460,-0.566,0.198
V23,4.614,-1.052,0.347
V24,2.002,-1.980,0.081
V25,4.075,-1.790,0.241
V26,4.360,1.445,0.260
V27,3.897,-1.695,0.381
V28,3.201,-2.396,0.055
V29,1.845,-2.084,0.067
V30,3.896,-1.698,0.379
V31,1.942,-2.251,0.084
V32,3.791,-2.183,0.047
V33,2.348,-1.303,0.020
V34,2.817,-2.791,0.060
V35,3.120,-2.386,0.057
V36,1.773,-2.316,0.076
V37,2.915,-2.793,0.057
V38,-1.932,-6.568,0.341
V39,2.001,-0.908,0.211
V40,4.345,-1.792,0.244
V41,3.792,-2.183,0.047
V42,6.564,-0.727,0.227
V43,4.527,-1.754,0.120
V44,8.369,-0.487,0.310
V45,-0.639,-3.876,0.049
V46,2.697,2.704,0.017
V47,2.435,-0.719,0.224
V48,1.710,-2.302,0.172
V49,2.824,-2.580,0.065
V50,3.410,-1.923,0.313
V51,2.579,-0.652,0.090
V52,3.120,-2.386,0.057
V53,3.238,-2.097,0.050
V54,3.620,-0.668,0.018
V55,3.309,-1.332,0.018
V56,3.765,-2.641,0.043
V57,4.100,-1.746,0.017
V58,6.443,-0.733,0.224
V59,2.852,-2.319,0.079
V60,2.610,-2.084,0.413
V61,4.100,-1.746,0.017
V62,7.042,-0.711,0.200
V63,4.321,-2.659,0.040
V64,4.101,-1.746,0.017
V65,2.600,-1.422,0.121
V66,3.792,-2.183,0.047
V67,5.206,-2.324,0.045
V68,6.493,-0.770,0.103
V69,1.831,-1.707,0.322
V70,3.413,-2.626,0.048
V71,3.189,-0.284,0.198
V72,4.436,-2.268,0.043
V73,2.005,2.731,0.052
V74,1.942,-2.251,0.084
V75,2.249,-1.193,0.074
V76,4.325,-1.014,0.157
V77,4.306,-2.499,0.043
V78,2.618,-2.524,0.102
V79,1.622,-1.444,0.056
V80,1.597,-2.626,0.070
V81,3.868,-1.810,0.232
V82,3.765,-2.641,0.044
V83,3.083,-2.072,0.247
V84,3.973,-1.790,0.238
V85,7.932,-0.741,0.109
V86,4.462,-0.454,0.240
V87,6.113,-1.029,0.236
V88,3.184,-2.612,0.052
V89,3.034,-2.602,0.056
V90,3.238,-2.097,0.050
V91,4.014,-1.288,0.018
V92,2.829,-2.889,0.094
V93,0.848,0.983,0.234
V94,1.635,-0.561,0.210
V95,4.321,-2.659,0.040
V96,3.184,-2.612,0.053
V97,1.560,-1.127,0.111
V98,3.184,-2.612,0.053
V99,3.466,-1.930,0.315
V100,3.789,-2.184,0.047
V101,2.384,-1.300,0.095
V102,3.973,-1.790,0.238
V103,3.823,-2.463,0.046
V104,2.902,-0.709,0.221
V105,5.206,-2.324,0.045
V106,3.534,-0.575,0.016
V107,3.184,-2.612,0.053
V108,3.861,-2.385,0.298
V109,1.503,-1.038,0.023
V110,1.780,-2.315,0.078
V111,3.820,-2.103,0.270
V112,3.184,-2.612,0.052
V113,2.474,-0.691,0.231
V114,2.853,-2.319,0.079
V115,4.259,-1.811,0.239
V116,5.704,-0.698,0.337
V117,3.510,-1.089,0.270
V118,4.028,-2.220,0.044
V119,0.345,3.192,0.041
V120,2.061,-0.036,0.237
V121,1.574,-2.634,0.062
V122,0.577,0.887,0.053
V123,8.294,-0.217,0.075
V124,0.948,0.520,0.062
V125,3.154,-1.056,0.016
V126,3.413,-2.626,0.048
V127,3.218,-1.048,0.016
V128,1.752,-2.323,0.071
V129,3.765,-2.641,0.044
V130,4.601,-1.764,0.120
V131,1.425,-1.485,0.052
V132,1.623,-2.617,0.079
V133,2.853,-2.319,0.079
V134,2.927,-0.034,0.255
V135,3.076,-1.334,0.017
V136,4.436,-2.268,0.043
V137,4.601,-1.764,0.120
V138,7.188,-0.982,0.241
V139,1.948,-1.866,0.043
V140,3.558,-1.081,0.271
V141,0.908,-1.261,0.094
V142,3.326,-2.414,0.052
V143,3.822,-2.464,0.045
V144,4.306,-2.499,0.043
V145,5.598,-0.810,0.014
V146,5.206,-2.324,0.045
V147,2.451,-2.556,0.151
V148,4.078,-1.998,0.320
V149,5.865,-1.066,0.229
V150,3.034,-2.601,0.056
V151,3.822,-2.465,0.045
V152,1.113,-0.380,0.091
V153,4.101,-1.746,0.017
V154,4.526,-1.810,0.241
V155,3.239,-2.098,0.050
V156,0.534,-1.291,0.065
V157,4.496,-0.162,0.321
V158,3.792,-2.183,0.047
V159,1.108,-2.732,0.111
V160,5.678,-1.051,0.234
V161,3.208,-2.080,0.250
V162,5.388,-1.102,0.015
V163,6.850,-0.762,0.104
V164,2.621,-0.811,0.112
V165,5.875,-1.064,0.230
V166,2.854,-2.319,0.080
V167,3.239,-2.098,0.050
V168,3.414,-2.625,0.049
V169,0.455,-0.019,0.086
V170,3.900,-1.700,0.379
V171,3.413,-2.625,0.048
V172,1.888,-2.292,0.060
V173,3.414,-2.625,0.049
V174,1.752,-2.323,0.071
V175,3.309,-1.332,0.018
V176,3.201,-2.396,0.055
V177,9.484,-0.231,0.328
V178,5.607,-0.810,0.014
V179,3.414,-2.625,0.049
V180,2.371,-2.962,0.150
V181,4.101,-1.746,0.017
V182,2.021,-1.971,0.085
V183,2.007,0.167,0.118
V184,4.029,-2.220,0.045
V185,4.101,-1.746,0.017
V186,0.037,120.829,0.088
V187,3.413,-2.625,0.048
V188,2.628,-0.768,0.017
V189,3.926,-0.243,0.103
V190,3.790,-2.184,0.047
V191,4.101,-1.746,0.017
V192,3.790,-2.184,0.047
V193,1.703,-0.213,0.020
V194,5.206,-2.324,0.045
V195,2.878,-2.588,0.061
V196,6.885,0.473,0.423
V197,4.322,-2.658,0.040
V198,4.346,-1.792,0.244
V199,2.854,-2.319,0.080
V200,6.449,-0.735,0.222
V201,6.500,-0.735,0.221
V202,2.775,-0.213,0.360
V203,4.527,-1.754,0.120
V204,4.346,-1.792,0.244
V205,1.327,-0.663,0.118
V206,8.160,-0.537,0.208
V207,6.133,-1.082,0.106
V208,3.792,-2.183,0.047
V209,6.468,-0.731,0.225
V210,3.822,-2.464,0.045
V211,8.913,-0.749,0.015
V212,3.521,-2.435,0.050
V213,8.601,-0.487,0.309
V214,9.378,-0.975,0.111
V215,3.909,-1.810,0.233
V216,2.854,-2.319,0.080
V217,2.085,-2.946,0.112
V218,4.256,-2.132,0.278
V219,5.389,-1.102,0.015
V220,4.306,-2.499,0.043
V221,0.333,1.889,0.300
V222,1.887,-1.686,0.117
V223,3.573,-1.054,0.278
V224,2.812,-2.276,0.295
V225,3.326,-2.414,0.052
V226,3.822,-2.465,0.045
V227,3.790,-2.184,0.047
V228,6.133,-1.082,0.106
V229,4.102,-1.746,0.017
V230,4.346,-1.792,0.244
V231,6.850,-0.762,0.104
V232,1.480,-1.822,0.084
V233,5.207,-2.324,0.046
V234,3.692,-2.799,0.042
V235,2.855,-2.319,0.080
V236,6.361,-0.354,0.310
V237,3.326,-2.413,0.052
V238,4.102,-1.746,0.017
V239,4.029,-2.219,0.045
V240,2.064,-1.959,0.093
V241,4.102,-1.746,0.017
V242,3.426,-1.927,0.314
V243,4.102,-1.746,0.017
V244,6.615,-1.062,0.108
V245,5.207,-2.324,0.046
V246,4.102,-1.746,0.017
V247,6.433,-0.735,0.223
V248,4.437,-2.267,0.043
V249,3.240,-2.098,0.050
V250,4.088,-1.810,0.237
V251,5.207,-2.324,0.046
V252,1.723,-2.578,0.065
V253,1.563,-2.120,0.103
V254,4.601,-1.764,0.120
V255,4.030,-2.219,0.045
V256,4.102,-1.746,0.017
V257,7.424,-0.162,0.163
V258,4.309,-2.797,0.039
V259,1.725,-0.689,0.090
V260,10.226,-0.906,0.240
V261,4.260,-0.308,0.410
V262,3.823,-2.463,0.046
V263,5.390,-1.102,0.015
V264,0.654,19.392,0.394
V265,5.321,-0.523,0.015
V266,1.997,-0.523,0.104
V267,2.764,-0.089,0.106
V268,1.793,-2.311,0.082
V269,5.207,-2.324,0.046
V270,2.618,-2.524,0.103
V271,4.975,-0.434,0.018
V272,-0.787,-6.016,0.066
V273,2.393,-2.547,0.156
V274,4.601,-1.765,0.120
V275,3.790,-2.184,0.047
V276,4.347,-1.792,0.244
V277,3.240,-2.099,0.050
V278,4.102,-1.746,0.017
V279,0.406,7.548,0.128
V280,7.932,-0.741,0.109
V281,4.601,-1.765,0.119
V282,0.577,1.817,0.220
V283,3.822,-2.464,0.045
V284,1.585,-2.308,0.113
V285,3.414,-2.625,0.049
V286,3.243,-1.278,0.131
V287,7.339,-0.052,0.237
V288,4.601,-1.765,0.119
V289,3.413,-2.625,0.048
V290,3.034,-2.602,0.055
V291,2.380,-1.308,0.093
V292,3.414,-2.625,0.049
V293,3.210,-2.079,0.250
V294,5.794,-1.062,0.232
V295,3.870,-1.810,0.232
V296,2.033,-1.970,0.087
V297,3.521,-2.435,0.049
V298,3.414,-2.625,0.049
V299,4.974,-0.434,0.018
V300,1.547,-1.995,0.069
V301,2.878,-2.587,0.061
V302,2.856,-2.319,0.080
V303,4.437,-2.267,0.043
V304,4.102,-1.746,0.017
V305,2.925,0.294,0.086
V306,4.115,-0.745,0.016
V307,1.792,0.345,0.109
V308,1.595,-2.627,0.070
V309,5.391,-1.102,0.015
V310,4.437,-2.267,0.043
V311,3.364,-0.670,0.040
V312,5.782,-1.034,0.346
V313,4.701,-1.019,0.457
V314,3.898,-1.695,0.381
V315,4.345,-2.518,0.235
V316,1.893,-0.541,0.077
V317,2.856,-2.319,0.080
V318,5.207,-2.324,0.046
V319,2.207,-1.263,0.224
V320,2.878,-2.588,0.061
V321,5.391,-1.102,0.015
V322,3.241,-2.099,0.050
V323,1.409,4.803,0.004
V324,3.871,-1.810,0.232
V325,6.387,-0.774,0.101
V326,1.763,-2.318,0.074
V327,6.133,-1.082,0.106
V328,3.793,-2.182,0.048
V329,1.608,0.120,0.037
V330,1.542,-1.525,0.123
V331,2.609,1.617,0.326
V332,0.524,-0.417,0.106
V333,2.762,-1.325,0.299
V334,2.336,0.056,0.040
V335,3.241,-2.099,0.050
V336,4.321,-2.659,0.040
V337,4.321,-2.658,0.040
V338,4.306,-2.499,0.043
V339,9.847,2.529,0.007
V340,4.321,-2.658,0.040
V341,6.489,-0.770,0.103
