Clf,Score
rand2,61.58526511792793
majoritario,61.58526511792793
minoritario,61.58526511792793
pessimo,61.58526511792793
rand3,61.62702494112877
rand1,66.68928022205739
RandomForestClassifier(3_estimators),263.49368848949507
BernoulliNB,419.1908474463794
DecisionTreeClassifier(),427.4978958944618
RandomForestClassifier(5_estimators),430.2843950221374
GaussianNB,455.68831516748065
RandomForestClassifier,461.0672827442803
SVM,462.09701512296857
KNeighborsClassifier(8),477.46870848810977
MLPClassifier,478.9133321111581
KNeighborsClassifier(2),482.9144863339187
KNeighborsClassifier(3),483.2747635824353
KNeighborsClassifier(5),483.3855871093208
otimo,493.6851697627014
