Clf,Score
rand3,66.74367266841736
rand2,67.01047869391829
majoritario,67.01047869391829
minoritario,67.01047869391829
pessimo,67.01047869391829
rand1,68.54678707916783
RandomForestClassifier(3_estimators),264.6724489952707
BernoulliNB,420.17963137707864
DecisionTreeClassifier(),428.47689129135136
RandomForestClassifier(5_estimators),431.25994944159845
GaussianNB,456.6255742360802
RandomForestClassifier,461.99278485017123
SVM,463.01992505568825
KNeighborsClassifier(8),478.3273665944546
MLPClassifier,479.7624277023908
KNeighborsClassifier(2),483.7342806904871
KNeighborsClassifier(3),484.09192835527193
KNeighborsClassifier(5),484.2019935986094
otimo,494.36917113958395
