Clf,Theta
GaussianNB,-0.09751133567435036
BernoulliNB,-0.6344281115472975
KNeighborsClassifier(2),2.1627679156819184
KNeighborsClassifier(3),2.2518500726764588
KNeighborsClassifier(5),2.2781621528927434
KNeighborsClassifier(8),1.1359402287497482
DecisionTreeClassifier(),-0.5425001614563546
RandomForestClassifier(3_estimators),-1.9058920926636909
RandomForestClassifier(5_estimators),-0.5091977582889269
RandomForestClassifier,0.04709450969176805
SVM,0.08036745769013784
MLPClassifier,1.3487049184974809
rand1,-3.9824810944291595
rand2,-17.58583427738898
rand3,-10.816674768419388
majoritario,-17.58583427738898
minoritario,-17.58583427738898
pessimo,-17.58583427738898
otimo,138.13083427738903
