,Discriminacao,Dificuldade,Adivinhacao
V1,1.069,20.998,0.174
V2,-1.137,-0.183,0.051
V3,-1.660,-1.857,0.131
V4,-1.332,-0.846,0.024
V5,-1.992,-1.173,0.161
V6,-1.000,-1.166,0.026
V7,-2.391,-0.159,0.017
V8,-2.196,-1.190,0.178
V9,-11.038,-1.880,0.181
V10,-1.027,-0.212,0.078
V11,-24.132,-0.632,0.110
V12,-36.140,-0.650,0.161
V13,-10.411,-1.871,0.197
V14,-8.065,-3.535,0.208
V15,-1.608,-1.818,0.135
V16,-50.513,-0.334,0.102
V17,-1.746,-1.511,0.117
V18,-0.485,-2.549,0.000
V19,-0.604,-1.442,0.000
V20,-0.111,-11.297,0.001
V21,-1.256,-0.975,0.036
V22,-8.717,-0.823,0.144
V23,-62.321,0.341,0.025
V24,-1.155,-0.256,0.079
V25,12.835,4.063,0.057
V26,-0.561,-3.526,0.178
V27,-0.356,-4.879,0.000
V28,-0.374,-2.878,0.031
V29,-6.721,-3.516,0.124
V30,-61.662,0.293,0.000
V31,-1.145,-0.156,0.078
V32,-1.137,-0.183,0.051
V33,0.141,12.189,0.001
V34,-0.417,-2.991,0.090
V35,-17.250,-0.712,0.136
V36,-42.001,0.069,0.000
V37,-1.332,-0.847,0.024
V38,-12.490,-0.609,0.254
V39,-0.627,-2.542,0.000
V40,-2.535,-0.931,0.175
V41,-0.948,-0.345,0.083
V42,19.942,3.795,0.057
V43,-0.961,-0.266,0.081
V44,-5.664,-1.571,0.236
V45,-1.145,-0.156,0.078
V46,20.054,3.791,0.049
V47,-0.951,-0.325,0.121
V48,-0.794,-1.152,0.000
V49,13.449,7.614,0.317
V50,-4.656,-3.527,0.208
V51,20.238,3.761,0.033
V52,-0.183,-5.167,0.004
V53,-6.888,-6.945,0.220
V54,-50.492,-0.334,0.102
V55,-15.792,-0.761,0.153
V56,20.055,3.791,0.049
V57,-3.396,0.175,0.000
V58,-9.371,-1.756,0.126
V59,-0.772,-0.842,0.130
V60,-2.006,-3.941,0.135
V61,-0.948,-1.344,0.031
V62,-15.424,-0.680,0.127
V63,-1.301,-1.125,0.024
V64,-0.335,-4.790,0.000
V65,-0.268,-42.839,0.189
V66,-11.825,-1.820,0.134
V67,-0.862,-1.801,0.042
V68,-0.589,-1.572,0.000
V69,-2.701,-0.449,0.216
V70,-7.042,-7.858,0.220
V71,-39.087,0.064,0.000
V72,-1.468,-0.651,0.024
V73,-1.603,-1.914,0.123
V74,-0.240,-8.843,0.000
V75,-1.654,-1.274,0.196
V76,-1.006,-0.285,0.079
V77,-14.137,-0.770,0.153
V78,-10.813,-1.510,0.243
V79,-12.524,-1.620,0.189
V80,-9.364,-1.756,0.126
V81,-8.623,-1.750,0.110
V82,-5.083,-8.239,0.227
V83,-13.744,-0.767,0.136
V84,0.330,8.124,0.000
V85,-1.129,-1.153,0.023
V86,-41.878,-0.655,0.186
V87,-33.728,-0.648,0.161
V88,0.187,12.677,0.000
V89,-0.391,-2.846,0.000
V90,-5.582,-2.809,0.189
V91,-2.643,-0.951,0.188
V92,-0.280,-5.548,0.000
V93,-8.723,-1.747,0.102
V94,-0.948,-1.856,0.200
V95,-8.895,-0.928,0.136
V96,-0.667,-1.990,0.002
V97,-0.914,-0.296,0.090
V98,20.322,3.773,0.049
V99,-7.912,-2.820,0.213
V100,-8.849,-0.953,0.153
V101,-7.515,-1.689,0.197
V102,-19.369,-2.086,0.205
V103,0.061,28.575,0.002
V104,-37.799,-0.651,0.169
V105,-0.497,-3.171,0.112
V106,-0.742,-1.831,0.007
V107,-0.851,-2.051,0.152
V108,-4.675,-3.121,0.226
V109,-0.762,-2.088,0.112
V110,-24.116,-0.632,0.110
V111,-6.062,0.253,0.000
V112,-1.044,-1.151,0.021
V113,-8.618,-1.750,0.110
V114,-4.992,-8.336,0.227
V115,-20.544,-0.678,0.110
V116,-2.317,-1.216,0.192
V117,-24.038,-0.682,0.153
V118,-61.673,0.293,0.000
V119,-2.322,-0.924,0.160
V120,-61.685,0.293,0.000
V121,-1.309,-3.689,0.196
V122,20.551,3.782,0.089
V123,-0.715,-1.159,0.000
V124,-4.054,-3.485,0.201
V125,-9.356,-1.755,0.126
V126,-18.347,-0.711,0.144
V127,-1.060,-14.439,0.182
V128,-0.890,-1.201,0.000
V129,-5.428,0.284,0.000
V130,21.719,3.153,0.057
V131,-0.821,-0.586,0.124
