Metodo,Acuracia
GaussianNB,0.6839999999999999
BernoulliNB,0.4293333333333333
KNeighborsClassifier(2),0.418
KNeighborsClassifier(3),0.44400000000000006
KNeighborsClassifier(5),0.45999999999999996
KNeighborsClassifier(8),0.47266666666666657
DecisionTreeClassifier(),0.642
RandomForestClassifier(3_estimators),0.6706666666666667
RandomForestClassifier(5_estimators),0.6806666666666666
RandomForestClassifier,0.6973333333333332
SVM,0.21733333333333332
MLPClassifier,0.276
rand1,0.116
rand2,0.102
rand3,0.112
majoritario,0.1
minoritario,0.1
pessimo,0.0
otimo,1.0
