Clf,Score
GaussianNB,5.592217482422562
KNeighborsClassifier(5),5.592217482422562
KNeighborsClassifier(8),5.592217482422562
DecisionTreeClassifier(),5.592217482422562
RandomForestClassifier(5_estimators),5.592217482422562
RandomForestClassifier,5.592217482422562
pessimo,5.592217482422562
rand2,5.646736697623574
SVM,5.734862215913877
MLPClassifier,5.904752307070478
rand3,6.237334845370608
RandomForestClassifier(3_estimators),6.357314994394795
KNeighborsClassifier(2),6.483347191668937
KNeighborsClassifier(3),6.838324739904813
BernoulliNB,12.539063604589979
rand1,14.274627587016903
majoritario,44.30546048432893
minoritario,44.30546048432893
otimo,65.35634552042947
