Clf,Score
KNeighborsClassifier(3),61.4551282756177
BernoulliNB,63.90930295489248
rand1,64.8315059921823
KNeighborsClassifier(2),80.32691597838775
majoritario,93.39694008993062
minoritario,93.39694008993062
otimo,109.28615894681846
RandomForestClassifier(3_estimators),137.32962991237318
rand3,217.55324904355822
MLPClassifier,359.88571079712244
SVM,388.93543317109925
rand2,397.82061460230534
GaussianNB,404.2559934089681
KNeighborsClassifier(5),404.2559934089681
KNeighborsClassifier(8),404.2559934089681
DecisionTreeClassifier(),404.2559934089681
RandomForestClassifier(5_estimators),404.2559934089681
RandomForestClassifier,404.2559934089681
pessimo,404.2559934089681
