Clf,Theta
GaussianNB,-7.142556991078496
BernoulliNB,3.356525438414108
KNeighborsClassifier(2),0.7636044386163935
KNeighborsClassifier(3),2.5549874755396442
KNeighborsClassifier(5),-7.142556991078496
KNeighborsClassifier(8),-7.142556991078496
DecisionTreeClassifier(),-7.142556991078496
RandomForestClassifier(3_estimators),0.015486007937432149
RandomForestClassifier(5_estimators),-7.142556991078496
RandomForestClassifier,-7.142556991078496
SVM,-5.260812323998348
MLPClassifier,-3.453471684048066
rand1,3.642333996236666
rand2,-6.374989697118928
rand3,-0.7684210314401938
majoritario,4.321470571325411
minoritario,4.321470571325411
pessimo,-7.142556991078496
otimo,91.1785569910785
