,Discriminacao,Dificuldade,Adivinhacao
V1,3.132,-0.846,0.100
V2,3.771,-2.094,0.063
V3,2.844,-2.302,0.065
V4,0.485,0.540,0.075
V5,2.566,-2.535,0.064
V6,2.762,-2.553,0.056
V7,2.990,-2.291,0.073
V8,2.762,-2.553,0.056
V9,4.123,-2.361,0.080
V10,3.216,-1.816,0.028
V11,6.459,-0.178,0.253
V12,2.109,-2.843,0.174
V13,4.343,-2.601,0.080
V14,4.132,-2.107,0.064
V15,11.686,2.203,0.001
V16,4.822,-2.088,0.074
V17,3.103,-1.035,0.307
V18,4.838,-1.240,0.230
V19,4.788,-1.253,0.230
V20,5.215,-0.070,0.290
V21,1.012,-0.736,0.068
V22,6.144,-1.270,0.105
V23,2.987,-2.292,0.072
V24,3.683,-0.817,0.352
V25,6.791,-0.618,0.231
V26,3.677,-2.585,0.053
V27,1.998,-1.821,0.061
V28,2.567,-2.534,0.064
V29,3.004,-0.491,0.186
V30,0.757,-0.192,0.095
V31,4.128,-1.300,0.019
V32,2.990,-2.291,0.073
V33,1.623,-2.324,0.093
V34,2.425,-2.299,0.124
V35,2.568,-2.534,0.065
V36,2.496,-1.938,0.162
V37,4.838,-1.240,0.230
V38,1.363,-0.651,0.020
V39,4.125,-2.109,0.063
V40,6.583,-1.197,0.243
V41,1.772,-0.766,0.082
V42,3.595,-2.302,0.071
V43,2.299,-2.642,0.142
V44,2.441,-1.273,0.422
V45,4.127,-2.109,0.063
V46,6.736,-0.672,0.102
V47,5.312,-0.650,0.337
V48,1.885,-2.020,0.322
V49,2.234,-1.181,0.021
V50,3.098,-2.568,0.052
V51,1.955,-1.924,0.162
V52,5.552,-1.192,0.236
V53,3.824,-1.511,0.415
V54,1.577,-1.783,0.148
V55,1.752,-2.267,0.099
V56,5.990,-1.183,0.239
V57,3.895,-1.251,0.283
V58,2.867,-2.271,0.076
V59,2.451,-2.741,0.058
V60,1.506,-1.048,0.035
V61,1.747,-2.286,0.090
V62,2.808,-0.280,0.108
V63,2.451,-2.265,0.136
V64,3.172,-2.330,0.068
V65,1.715,-2.743,0.091
V66,3.498,-1.697,0.394
V67,3.862,-1.347,0.087
V68,4.343,-2.876,0.042
V69,2.222,-1.055,0.141
V70,2.284,-2.734,0.065
V71,3.217,-1.816,0.028
V72,2.656,-0.982,0.186
V73,3.769,-2.095,0.062
V74,1.681,-2.116,0.077
V75,1.891,-2.460,0.102
V76,3.553,-2.079,0.064
V77,3.772,-2.094,0.063
V78,3.487,-1.684,0.395
V79,3.072,-2.628,0.086
V80,1.523,-2.373,0.087
V81,3.168,-2.331,0.066
V82,1.489,-2.564,0.117
V83,2.351,-0.954,0.090
V84,2.157,0.196,0.327
V85,2.028,-1.892,0.118
V86,2.868,-2.271,0.076
V87,2.988,-2.292,0.072
V88,5.013,-1.321,0.103
V89,4.128,-2.109,0.063
V90,2.439,-2.124,0.140
V91,2.393,-2.509,0.076
V92,2.568,-2.534,0.065
V93,2.869,-2.270,0.076
V94,2.764,-2.552,0.057
V95,2.284,-2.734,0.066
V96,0.943,-2.711,0.102
V97,3.361,-1.933,0.148
V98,3.391,-2.715,0.052
V99,7.222,-0.642,0.105
V100,3.217,-1.816,0.028
V101,2.870,-2.270,0.077
V102,5.302,-1.288,0.103
V103,1.278,-2.258,0.131
V104,4.883,-1.241,0.231
V105,1.528,-1.491,0.201
V106,1.107,4.174,0.349
V107,-0.024,-105.687,0.200
V108,2.573,-2.427,0.103
V109,3.773,-2.094,0.063
V110,4.129,-1.300,0.019
V111,2.568,-2.534,0.065
V112,2.290,-0.600,0.020
V113,1.568,-2.054,0.123
V114,4.130,-1.300,0.019
V115,2.566,-2.535,0.063
V116,2.999,-2.898,0.060
V117,1.982,-1.907,0.108
V118,3.168,-2.331,0.066
V119,4.130,-1.300,0.019
V120,2.668,-1.439,0.030
V121,1.051,-1.166,0.075
V122,5.241,-1.208,0.234
V123,4.683,-2.602,0.040
V124,3.320,-0.977,0.224
V125,3.210,-1.918,0.150
V126,2.362,-2.503,0.079
V127,1.106,0.151,0.085
V128,2.270,-1.643,0.303
V129,5.592,-0.329,0.229
V130,3.935,-1.608,0.297
V131,1.377,0.518,0.179
V132,5.109,-0.594,0.020
V133,3.594,-2.303,0.071
V134,2.065,-1.366,0.172
V135,1.235,-0.542,0.057
V136,2.393,-2.509,0.076
V137,2.195,-2.728,0.072
V138,3.218,-1.816,0.028
V139,4.824,-2.087,0.075
V140,3.041,-0.996,0.409
V141,1.526,-2.519,0.112
