Clf,Score
rand1,122.98985679000361
pessimo,122.98985679000361
BernoulliNB,140.18998528990141
majoritario,140.18998528990141
minoritario,140.18998528990141
rand3,319.46839866253134
rand2,398.38964099749757
DecisionTreeClassifier(),420.91114187235405
RandomForestClassifier(3_estimators),438.9492283683346
SVM,457.4795410932175
RandomForestClassifier(5_estimators),459.0108224471788
RandomForestClassifier,459.1135942255451
GaussianNB,461.11490670448455
MLPClassifier,476.4322611243057
KNeighborsClassifier(5),478.65665923836565
KNeighborsClassifier(2),478.81797964805
KNeighborsClassifier(8),480.7686689949772
KNeighborsClassifier(3),481.75758336343824
otimo,491.60180759555624
