Clf,Score
rand1,125.16326736209112
pessimo,125.16326736209112
BernoulliNB,142.2743786541234
majoritario,142.2743786541234
minoritario,142.2743786541234
rand3,321.0336979371598
rand2,399.75968461360566
DecisionTreeClassifier(),422.212427148103
RandomForestClassifier(3_estimators),440.1882944085354
SVM,458.6380116817664
RandomForestClassifier(5_estimators),460.1602741012436
RandomForestClassifier,460.2624185421466
GaussianNB,462.2509067123635
MLPClassifier,477.4081905175229
KNeighborsClassifier(5),479.59547330074264
KNeighborsClassifier(2),479.7540328126046
KNeighborsClassifier(8),481.6720930516851
KNeighborsClassifier(3),482.6460508331589
otimo,492.16873464357224
