,Discriminacao,Dificuldade,Adivinhacao
V1,0.730,0.289,0.000
V2,0.497,2.202,0.092
V3,0.484,-1.152,0.000
V4,0.454,-3.006,0.000
V5,1.686,1.646,0.147
V6,19.050,-1.763,0.000
V7,9.303,-0.888,0.272
V8,19.021,-1.757,0.091
V9,2.455,-1.668,0.184
V10,11.370,-0.800,0.091
V11,0.861,0.783,0.092
V12,1.214,-3.574,0.000
V13,2.292,-0.775,0.182
V14,0.112,4.923,0.010
V15,2.778,-0.903,0.000
V16,0.854,0.005,0.078
V17,34.704,-0.721,0.000
V18,0.347,0.224,0.000
V19,1.411,-3.452,0.000
V20,18.841,-1.761,0.182
V21,1.840,-2.102,0.000
V22,3.372,1.376,0.303
V23,0.251,5.281,0.000
V24,14.526,1.424,0.385
V25,19.035,-1.762,0.000
V26,0.601,1.553,0.084
V27,0.894,0.160,0.075
V28,1.003,-2.382,0.064
V29,0.597,-2.297,0.000
V30,-6.988,-5.745,0.128
V31,9.182,-0.929,0.000
V32,2.934,-0.424,0.000
V33,0.732,0.481,0.000
V34,1.877,-0.691,0.083
V35,1.611,-1.202,0.184
V36,1.522,1.094,0.285
V37,19.028,-1.756,0.091
V38,2.038,-1.038,0.186
V39,0.520,0.503,0.000
V40,3.221,-1.019,0.182
V41,4.515,2.360,0.075
V42,2.735,-0.652,0.000
V43,0.975,-3.591,0.000
V44,0.678,0.111,0.000
V45,19.027,-1.762,0.000
V46,11.623,-0.867,0.091
V47,1.354,-2.325,0.000
V48,19.023,-1.762,0.000
V49,1.413,-3.454,0.000
V50,1.364,-0.900,0.000
V51,4.128,-0.761,0.092
V52,5.028,0.055,0.172
V53,29.872,-0.755,0.000
V54,19.016,-1.762,0.000
V55,19.103,-1.749,0.091
V56,0.554,-1.647,0.000
V57,0.825,-0.776,0.000
V58,2.026,0.444,0.000
V59,2.187,-0.797,0.000
V60,18.815,-1.760,0.182
V61,1.946,-1.476,0.185
V62,19.004,-1.762,0.000
V63,19.000,-1.762,0.000
V64,0.302,3.537,0.000
V65,16.441,-0.730,0.091
V66,1.272,-0.221,0.170
V67,21.342,1.459,0.052
V68,1.892,-0.660,0.179
V69,1.024,-1.144,0.000
V70,1.301,-2.613,0.000
V71,1.282,-3.878,0.000
V72,2.702,-1.066,0.090
V73,1.609,-1.856,0.000
V74,13.806,-0.749,0.000
V75,1.153,-3.328,0.000
V76,0.645,-1.236,0.000
V77,0.485,1.325,0.000
V78,0.231,2.621,0.001
V79,1.292,-2.402,0.002
V80,1.774,0.674,0.080
V81,3.093,-0.877,0.093
V82,1.852,-1.446,0.092
V83,2.152,-1.646,0.000
V84,0.472,1.340,0.000
V85,1.199,-0.200,0.000
V86,18.805,-1.760,0.182
V87,1.790,-0.980,0.094
V88,0.739,-3.567,0.000
V89,0.404,1.056,0.000
V90,0.512,-2.893,0.002
V91,2.157,-1.643,0.000
V92,0.384,-0.793,0.000
V93,0.341,1.936,0.000
V94,0.209,0.119,0.000
V95,1.026,-2.204,0.000
V96,9.530,-1.368,0.364
V97,2.455,-1.668,0.184
V98,0.344,-1.222,0.000
V99,33.025,1.443,0.262
V100,0.582,0.277,0.000
V101,18.802,-1.760,0.182
V102,0.231,2.478,0.000
V103,18.989,-1.755,0.091
V104,18.985,-1.761,0.000
V105,-0.158,-16.237,0.005
V106,37.110,-0.693,0.000
V107,9.375,-0.900,0.181
V108,1.336,-1.540,0.093
V109,30.112,-0.751,0.091
V110,1.847,1.097,0.177
V111,0.116,5.446,0.002
V112,9.109,-0.920,0.091
V113,0.322,0.800,0.000
V114,1.102,-0.027,0.000
V115,18.973,-1.761,0.000
V116,30.098,-0.755,0.000
V117,18.967,-1.754,0.091
V118,0.072,15.540,0.009
V119,1.590,-0.908,0.000
V120,18.942,-1.755,0.091
V121,1.491,-1.936,0.086
V122,2.371,-1.356,0.000
V123,1.168,-1.374,0.000
V124,0.642,-2.767,0.000
V125,0.487,-0.839,0.000
V126,1.705,0.141,0.077
V127,18.772,-1.759,0.182
V128,2.028,-1.938,0.094
V129,2.290,-0.535,0.172
V130,1.748,-0.280,0.000
V131,0.493,1.877,0.000
V132,18.954,-1.760,0.000
V133,1.056,1.530,0.103
V134,1.622,-1.094,0.090
V135,18.950,-1.760,0.000
V136,18.946,-1.760,0.000
V137,18.924,-1.754,0.090
V138,1.641,-1.254,0.092
V139,0.772,-1.101,0.000
V140,18.756,-1.758,0.182
V141,3.201,-1.064,0.091
V142,2.086,-1.082,0.092
V143,8.484,-4.295,0.000
V144,1.795,-0.981,0.091
V145,18.752,-1.758,0.182
V146,0.974,-0.263,0.067
V147,0.404,0.738,0.000
V148,2.748,-1.377,0.000
V149,0.073,10.407,0.037
V150,10.096,-0.896,0.091
V151,0.966,0.557,0.074
V152,0.234,2.165,0.000
V153,2.252,-0.906,0.000
V154,1.364,-0.557,0.171
V155,1.761,1.388,0.133
V156,1.613,0.584,0.077
V157,2.606,0.057,0.000
V158,8.990,-0.934,0.000
V159,0.226,0.685,0.000
V160,0.694,-0.095,0.067
V161,2.415,-1.689,0.184
V162,0.214,6.299,0.000
V163,2.695,-0.792,0.096
V164,2.671,-0.382,0.185
V165,2.720,-1.349,0.091
V166,2.372,-1.355,0.000
V167,0.179,4.398,0.000
V168,2.749,-1.377,0.000
V169,0.243,3.945,0.000
V170,2.776,-0.536,0.091
V171,36.117,-0.705,0.000
V172,1.298,-2.209,0.000
V173,0.372,0.581,0.000
V174,0.352,-0.236,0.000
V175,1.852,-0.203,0.167
V176,0.902,-0.674,0.000
V177,2.285,-0.647,0.177
V178,0.326,1.891,0.000
V179,0.387,-1.423,0.000
V180,0.323,2.766,0.000
V181,0.364,4.766,0.000
V182,0.746,1.380,0.000
V183,2.363,-1.314,0.091
V184,18.927,-1.760,0.000
V185,0.551,-3.057,0.000
V186,34.512,-0.722,0.000
V187,30.043,-0.751,0.091
V188,18.916,-1.759,0.000
V189,5.135,2.304,0.075
V190,18.912,-1.759,0.000
V191,2.600,-0.871,0.000
V192,1.243,1.030,0.226
V193,1.049,-1.926,0.000
V194,6.150,0.072,0.171
V195,20.892,1.446,0.092
V196,0.311,1.534,0.000
V197,1.487,-0.664,0.194
V198,0.556,2.199,0.103
V199,0.240,0.300,0.017
V200,0.748,-2.606,0.012
V201,2.236,-0.784,0.093
V202,2.046,-0.663,0.177
V203,1.499,-2.680,0.000
V204,2.463,-1.706,0.092
V205,1.096,-3.141,0.000
