Metodo,Acuracia
GaussianNB,0.7220000000000001
BernoulliNB,0.06466666666666668
KNeighborsClassifier(2),0.8146666666666667
KNeighborsClassifier(3),0.8166666666666667
KNeighborsClassifier(5),0.8200000000000001
KNeighborsClassifier(8),0.8166666666666667
DecisionTreeClassifier(),0.6686666666666666
RandomForestClassifier(3_estimators),0.6693333333333333
RandomForestClassifier(5_estimators),0.6986666666666668
RandomForestClassifier,0.7473333333333334
SVM,0.06400000000000002
MLPClassifier,0.8113333333333335
rand1,0.116
rand2,0.096
rand3,0.094
majoritario,0.1
minoritario,0.1
pessimo,0.0
otimo,1.0
