Clf,Score
BernoulliNB,64.47834489246969
DecisionTreeClassifier(),64.47834489246969
SVM,64.47834489246969
rand2,64.47834489246969
rand3,64.47834489246969
pessimo,64.47834489246969
rand1,99.75860201930671
KNeighborsClassifier(3),140.81846035626648
KNeighborsClassifier(5),222.6564968467213
RandomForestClassifier(3_estimators),247.66724196986922
GaussianNB,355.11266751636964
KNeighborsClassifier(8),357.23631733436133
RandomForestClassifier(5_estimators),402.48547572097357
majoritario,406.1658825169122
minoritario,406.1658825169122
RandomForestClassifier,429.03616925125516
MLPClassifier,432.4047013596104
KNeighborsClassifier(2),436.1165456615284
otimo,492.4342322549612
