Clf,Score
BernoulliNB,64.86620963222356
DecisionTreeClassifier(),64.86620963222356
SVM,64.86620963222356
rand2,64.86620963222356
rand3,64.86620963222356
pessimo,64.86620963222356
rand1,100.08362930605887
KNeighborsClassifier(3),141.1222641245161
KNeighborsClassifier(5),222.94817291309042
RandomForestClassifier(3_estimators),247.95232163742253
GaussianNB,355.37652681984144
KNeighborsClassifier(8),357.49942745331595
RandomForestClassifier(5_estimators),402.72963096049676
majoritario,406.4090533189252
minoritario,406.4090533189252
RandomForestClassifier,429.2702987480508
MLPClassifier,432.63674664051956
KNeighborsClassifier(2),436.3461485527236
otimo,492.6022512550623
