Clf,Theta
GaussianNB,0.05131057834338379
BernoulliNB,-4.089991684735085
KNeighborsClassifier(2),2.5127077341178
KNeighborsClassifier(3),-1.839148363661043
KNeighborsClassifier(5),-1.3375770696807134
KNeighborsClassifier(8),0.09445868288258386
DecisionTreeClassifier(),-4.089991684735085
RandomForestClassifier(3_estimators),-1.0411085157478888
RandomForestClassifier(5_estimators),1.3247171661710095
RandomForestClassifier,2.113949147316379
SVM,-4.089991684735085
MLPClassifier,2.2938552415721905
rand1,-2.598809330114931
rand2,-4.089991684735085
rand3,-4.089991684735085
majoritario,1.3972065274861256
minoritario,1.3972065274861256
pessimo,-4.089991684735085
otimo,52.53799168473508
