Metodo,Acuracia
GaussianNB,0.7913542685909981
BernoulliNB,0.8532889707681017
KNeighborsClassifier(2),0.9810489542563602
KNeighborsClassifier(3),0.9869102403375735
KNeighborsClassifier(5),0.9853465936888455
KNeighborsClassifier(8),0.9826118364726029
DecisionTreeClassifier(),0.8931453339041096
RandomForestClassifier(3_estimators),0.8937266848091976
RandomForestClassifier(5_estimators),0.9374877690802348
RandomForestClassifier,0.9654208965264187
SVM,0.7046412518346379
MLPClassifier,0.9808540239726028
rand1,0.10578842315369262
rand2,0.0998003992015968
rand3,0.1157684630738523
majoritario,0.10179640718562874
minoritario,0.09780439121756487
pessimo,0.0
otimo,1.0
