Clf,Score
rand1,99.18374223096338
rand2,99.18374223096338
rand3,99.18374223096338
majoritario,99.18374223096338
minoritario,99.18374223096338
pessimo,99.18374223096338
GaussianNB,177.4466211522698
BernoulliNB,177.4466211522698
KNeighborsClassifier(2),177.4466211522698
KNeighborsClassifier(3),177.4466211522698
KNeighborsClassifier(5),177.4466211522698
KNeighborsClassifier(8),177.4466211522698
DecisionTreeClassifier(),177.4466211522698
RandomForestClassifier(3_estimators),177.4466211522698
RandomForestClassifier(5_estimators),177.4466211522698
RandomForestClassifier,177.4466211522698
SVM,177.4466211522698
MLPClassifier,177.4466211522698
otimo,177.4466211522698
