Clf,Theta
GaussianNB,2.3101430472589186
BernoulliNB,2.3101430472589186
KNeighborsClassifier(2),2.3101430472589186
KNeighborsClassifier(3),2.3101430472589186
KNeighborsClassifier(5),2.3101430472589186
KNeighborsClassifier(8),2.3101430472589186
DecisionTreeClassifier(),2.3101430472589186
RandomForestClassifier(3_estimators),2.3101430472589186
RandomForestClassifier(5_estimators),2.3101430472589186
RandomForestClassifier,2.3101430472589186
SVM,2.3101430472589186
MLPClassifier,2.3101430472589186
rand1,3.6048536257100223
rand2,3.6048536257100223
rand3,3.6048536257100223
majoritario,3.6048536257100223
minoritario,3.6048536257100223
pessimo,3.6048536257100223
otimo,2.3101430472589186
