,Discriminacao,Dificuldade,Adivinhacao
V1,2.898,-0.715,0.000
V2,0.746,-4.218,0.000
V3,2.218,-0.360,0.000
V4,0.837,-4.269,0.000
V5,25.708,-1.722,0.000
V6,25.712,-1.722,0.000
V7,1.140,-2.003,0.000
V8,10.643,-2.751,0.000
V9,64.999,-0.032,0.000
V10,1.308,-2.137,0.000
V11,51.677,-0.018,0.000
V12,41.229,0.017,0.000
V13,25.720,-1.722,0.000
V14,1.368,-0.617,0.000
V15,0.868,-2.110,0.000
V16,2.502,-0.557,0.000
V17,3.332,-1.061,0.000
V18,25.920,-0.698,0.332
V19,6.266,-4.748,0.000
V20,3.290,0.246,0.000
V21,51.516,-0.031,0.000
V22,1.296,-1.166,0.000
V23,10.652,-2.751,0.000
V24,25.733,-1.722,0.000
V25,14.659,-0.811,0.000
V26,23.322,-2.366,0.000
V27,6.276,-4.745,0.000
V28,6.278,-4.744,0.000
V29,3.817,0.174,0.000
V30,40.272,-0.691,0.000
V31,4.760,-0.179,0.000
V32,3.449,-1.434,0.000
V33,3.308,-0.400,0.000
V34,3.395,0.041,0.000
V35,1.023,-4.276,0.000
V36,41.889,-0.011,0.000
V37,0.673,-4.623,0.000
V38,1.890,-2.164,0.000
V39,1.023,-4.276,0.000
V40,0.603,-3.168,0.000
V41,0.939,-4.528,0.000
V42,41.726,0.023,0.000
V43,1.571,-2.093,0.000
V44,1.023,-4.276,0.000
V45,3.446,-1.434,0.000
V46,2.916,-0.892,0.000
V47,1.859,-0.891,0.000
V48,4.921,-0.441,0.000
V49,6.283,-4.743,0.000
V50,3.676,-0.170,0.000
V51,0.856,-2.295,0.000
V52,3.005,0.154,0.000
V53,1.354,-2.995,0.000
V54,-3.701,0.334,0.000
V55,41.008,0.005,0.000
V56,1.286,-1.279,0.000
V57,23.342,-2.366,0.000
V58,23.346,-2.366,0.000
V59,-1.762,-0.303,0.000
V60,3.932,0.296,0.000
V61,0.787,-4.486,0.000
V62,0.970,-3.359,0.000
V63,0.627,-4.532,0.000
V64,0.746,-4.218,0.000
V65,19.303,-0.705,0.000
V66,4.762,-0.179,0.000
V67,29.802,0.692,0.031
V68,0.885,-1.931,0.000
V69,6.172,0.476,0.000
V70,23.350,-2.366,0.000
V71,42.721,0.029,0.000
V72,4.094,-0.354,0.000
V73,-47.641,-1.074,0.016
V74,6.294,-4.739,0.000
V75,41.239,0.011,0.000
V76,23.358,-2.366,0.000
V77,-3.194,1.206,0.000
V78,23.361,-2.366,0.000
V79,-2.438,-0.322,0.000
V80,0.746,-4.218,0.000
V81,3.036,-0.550,0.000
V82,0.593,-4.131,0.000
V83,6.303,-4.736,0.000
V84,2.499,-1.633,0.000
V85,47.747,-0.015,0.000
V86,-2.894,-0.501,0.000
V87,4.004,-0.772,0.000
V88,0.939,-4.528,0.000
V89,40.229,-0.064,0.214
V90,50.043,-1.021,0.000
V91,6.309,-4.733,0.000
V92,-3.986,0.377,0.000
V93,0.662,-3.231,0.000
V94,2.118,-0.885,0.000
V95,-2.216,-0.950,0.000
V96,5.894,-0.488,0.000
V97,0.939,-4.528,0.000
V98,20.391,-0.732,0.000
V99,1.023,-4.276,0.000
V100,3.335,-1.061,0.000
V101,3.191,-1.015,0.177
V102,50.053,-1.021,0.000
V103,2.375,-1.009,0.000
V104,2.214,-0.951,0.000
V105,2.041,-0.399,0.000
V106,1.189,-3.262,0.000
V107,2.285,-2.007,0.000
V108,1.630,-1.631,0.000
V109,6.316,-4.731,0.000
V110,1.951,-1.046,0.000
V111,10.710,-2.751,0.000
V112,2.023,-0.745,0.000
V113,3.668,-0.686,0.295
V114,0.842,-2.695,0.000
V115,6.322,-4.728,0.000
V116,3.329,-1.062,0.000
V117,40.265,-0.691,0.000
V118,2.218,-0.360,0.000
V119,3.230,-1.239,0.000
V120,3.170,-0.102,0.000
V121,50.078,-1.021,0.000
V122,1.778,-1.941,0.000
V123,2.457,-0.498,0.000
V124,-46.359,0.005,0.000
V125,3.584,0.252,0.000
V126,3.230,-1.239,0.000
V127,2.206,-1.183,0.000
V128,3.222,-1.240,0.000
V129,6.336,-4.722,0.000
V130,1.057,-3.130,0.000
V131,1.839,-0.658,0.000
V132,10.729,-2.751,0.000
V133,2.606,-0.852,0.000
V134,1.255,-2.009,0.000
V135,3.326,-1.062,0.000
V136,58.714,-0.035,0.500
V137,10.733,-2.751,0.000
V138,34.131,1.378,0.204
V139,1.354,-2.995,0.000
V140,20.389,-0.732,0.000
V141,0.766,-3.755,0.000
V142,28.442,-0.746,0.000
V143,0.620,-4.239,0.000
V144,-2.606,-0.852,0.000
V145,1.354,-2.995,0.000
V146,4.995,0.341,0.000
V147,1.057,-3.130,0.000
V148,8.300,0.342,0.000
V149,-2.349,0.403,0.000
V150,1.437,-2.509,0.000
V151,-3.301,-0.006,0.000
V152,27.301,-0.718,0.000
V153,20.387,-0.732,0.000
V154,2.671,-1.051,0.000
V155,4.580,0.299,0.000
V156,41.591,0.005,0.000
V157,37.076,-0.692,0.000
V158,6.350,-4.716,0.000
V159,0.968,-3.801,0.000
V160,1.900,-2.159,0.000
V161,4.081,-0.083,0.122
V162,6.354,-4.714,0.000
V163,0.620,-4.240,0.000
V164,25.851,-1.723,0.000
V165,1.584,-1.854,0.000
V166,1.612,-0.685,0.000
V167,3.648,0.131,0.000
V168,6.362,-4.710,0.000
V169,1.057,-3.130,0.000
V170,3.083,0.857,0.000
V171,48.516,-0.014,0.000
V172,3.246,0.714,0.000
V173,2.459,-0.264,0.000
V174,10.770,-2.751,0.000
V175,0.620,-4.241,0.000
V176,2.324,-0.741,0.000
V177,41.272,0.011,0.000
V178,24.233,-1.707,0.200
V179,25.868,-1.723,0.000
V180,6.378,-4.703,0.000
V181,6.382,-4.701,0.000
V182,6.387,-4.698,0.000
V183,6.391,-4.696,0.000
V184,0.627,-4.533,0.000
V185,-5.217,0.100,0.000
V186,2.313,-0.322,0.225
V187,3.778,-0.038,0.170
V188,4.505,-0.663,0.000
V189,2.498,-1.633,0.000
V190,2.498,-1.633,0.000
V191,1.541,-0.651,0.000
V192,0.620,-4.240,0.000
V193,-7.240,0.395,0.000
V194,42.400,0.011,0.000
V195,3.778,-0.038,0.170
V196,10.782,-2.751,0.000
V197,1.354,-2.995,0.000
V198,1.057,-3.130,0.000
V199,6.413,-4.685,0.000
V200,3.329,-1.062,0.000
V201,1.057,-3.130,0.000
V202,10.789,-2.751,0.000
V203,3.230,-1.239,0.000
V204,27.527,-0.638,0.000
V205,1.669,-0.223,0.000
V206,2.216,-0.950,0.000
V207,25.879,-0.678,0.000
V208,0.686,-3.328,0.000
V209,6.427,-4.678,0.000
V210,3.446,-1.434,0.000
V211,23.496,-2.366,0.000
V212,24.342,-1.707,0.200
V213,0.939,-4.528,0.000
V214,3.676,-0.170,0.000
V215,0.739,-2.695,0.000
V216,1.282,-2.409,0.000
V217,3.449,-1.434,0.000
V218,50.215,-1.020,0.000
V219,6.452,-4.665,0.000
V220,2.019,-0.465,0.000
V221,0.568,-4.318,0.000
V222,14.660,-0.811,0.000
V223,10.832,-2.751,0.000
V224,41.569,0.000,0.000
V225,0.952,-2.051,0.000
V226,0.836,-4.270,0.000
V227,25.950,-1.723,0.000
V228,4.241,0.053,0.276
V229,1.390,-0.989,0.000
V230,52.410,-1.011,0.167
V231,4.904,-0.221,0.000
V232,0.788,-2.349,0.000
V233,1.023,-4.276,0.000
V234,5.136,-0.263,0.000
V235,0.787,-4.487,0.000
V236,50.240,-1.019,0.000
V237,2.920,-0.891,0.000
V238,1.354,-2.995,0.000
V239,0.708,-4.421,0.000
V240,1.440,-2.505,0.000
V241,6.479,-4.651,0.000
V242,3.747,-0.492,0.000
V243,1.012,-2.435,0.000
V244,23.529,-2.366,0.000
V245,40.678,-0.022,0.429
V246,41.535,-0.023,0.000
V247,1.579,-2.749,0.000
V248,50.259,-1.019,0.000
V249,2.735,-0.232,0.000
V250,6.501,-4.639,0.000
V251,47.652,-0.637,0.000
V252,3.912,0.724,0.000
V253,41.674,-0.666,0.000
V254,25.984,-1.723,0.000
V255,23.548,-2.366,0.000
V256,52.420,-1.011,0.167
V257,41.587,0.005,0.000
V258,0.836,-4.270,0.000
V259,-3.201,-0.351,0.000
V260,0.568,-4.625,0.000
V261,4.995,0.341,0.000
V262,1.478,-1.326,0.000
V263,14.660,-0.811,0.000
V264,1.057,-3.130,0.000
V265,3.334,-1.061,0.000
V266,5.565,0.299,0.000
V267,2.206,-1.183,0.000
V268,0.944,-2.403,0.000
V269,0.708,-4.421,0.000
V270,6.525,-4.626,0.000
V271,1.951,-1.046,0.000
V272,-49.666,0.019,0.000
V273,37.065,-0.692,0.000
V274,1.023,-4.276,0.000
V275,2.285,0.057,0.000
V276,1.023,-4.276,0.000
V277,42.910,-0.016,0.000
V278,24.437,-1.707,0.200
V279,3.230,-1.239,0.000
V280,2.987,0.236,0.000
V281,2.407,0.201,0.000
V282,50.298,-1.019,0.000
V283,44.091,0.005,0.000
V284,3.220,-1.240,0.000
V285,23.525,-0.631,0.000
V286,2.435,-0.440,0.000
V287,6.549,-4.612,0.000
V288,26.019,-1.722,0.000
V289,1.023,-4.276,0.000
V290,3.864,0.011,0.000
V291,5.273,-0.503,0.149
V292,50.313,-1.019,0.000
V293,23.581,-2.366,0.000
V294,31.994,-0.662,0.000
V295,17.141,1.329,0.288
V296,67.917,0.695,0.312
V297,0.927,-3.152,0.000
V298,28.442,-0.746,0.000
V299,1.354,-2.995,0.000
V300,2.576,0.215,0.000
V301,-4.038,0.496,0.000
V302,4.763,-0.179,0.000
V303,6.582,-4.595,0.000
V304,3.339,-1.061,0.000
V305,10.879,-2.751,0.000
V306,2.677,0.385,0.000
V307,1.023,-4.276,0.000
V308,6.595,-4.587,0.000
V309,10.885,-2.751,0.000
V310,-2.375,-1.009,0.000
V311,-8.314,0.342,0.000
V312,31.474,-0.665,0.165
V313,26.054,-1.722,0.000
V314,23.606,-2.366,0.000
V315,2.006,-0.674,0.000
V316,3.230,-1.239,0.000
V317,2.303,-0.220,0.058
V318,-2.947,0.779,0.000
V319,5.122,0.258,0.000
V320,43.440,0.008,0.143
V321,2.894,-0.501,0.000
V322,0.644,-3.130,0.000
V323,42.652,-0.011,0.000
V324,0.836,-4.270,0.000
V325,10.897,-2.751,0.000
V326,41.566,0.000,0.000
V327,0.836,-4.270,0.000
V328,2.378,-1.008,0.000
V329,3.019,0.670,0.000
V330,4.094,-0.354,0.000
V331,0.836,-4.270,0.000
V332,6.638,-4.564,0.000
V333,1.057,-3.130,0.000
V334,0.836,-4.269,0.000
V335,41.919,-0.011,0.000
V336,26.077,-1.722,0.000
V337,1.284,-2.702,0.000
V338,0.662,-3.231,0.000
V339,0.927,-3.153,0.000
V340,4.408,-0.398,0.000
V341,1.770,-1.720,0.000
V342,3.210,0.119,0.000
V343,0.543,-3.766,0.000
V344,10.906,-2.751,0.000
V345,3.896,-0.309,0.000
V346,1.077,-2.767,0.000
V347,2.916,-0.892,0.000
V348,6.660,-4.552,0.000
V349,5.506,0.585,0.000
V350,6.625,0.438,0.000
V351,50.986,-0.025,0.000
V352,3.449,-1.434,0.000
V353,6.668,-4.547,0.000
V354,1.778,-1.941,0.000
V355,13.018,-0.061,0.285
V356,0.952,-2.051,0.000
V357,1.354,-2.995,0.000
V358,6.676,-4.543,0.000
V359,0.939,-4.530,0.000
V360,-5.745,0.173,0.000
V361,3.716,-0.078,0.000
V362,0.939,-4.528,0.000
V363,0.836,-4.270,0.000
V364,5.306,-0.501,0.150
V365,-2.438,-0.322,0.000
V366,3.222,-1.240,0.000
V367,-2.642,0.617,0.000
V368,-4.706,0.502,0.000
V369,4.002,-0.772,0.000
V370,0.797,-2.849,0.000
V371,5.867,0.513,0.000
V372,10.918,-2.751,0.000
V373,1.162,-2.146,0.000
V374,4.094,-0.354,0.000
V375,1.888,-2.164,0.001
V376,3.222,-1.240,0.000
V377,21.352,-0.659,0.165
V378,14.750,0.673,0.031
V379,1.633,-2.327,0.000
V380,1.892,-2.161,0.002
V381,17.972,0.674,0.031
V382,2.503,-1.231,0.000
V383,0.543,-3.767,0.000
V384,1.431,-1.995,0.000
V385,2.498,-1.633,0.000
V386,1.778,-1.941,0.000
V387,2.191,-0.148,0.000
V388,0.901,-2.955,0.000
V389,41.448,0.023,0.000
V390,50.405,-1.018,0.000
V391,2.523,0.156,0.094
V392,2.277,-0.238,0.000
V393,5.492,0.585,0.000
V394,0.968,-3.801,0.000
V395,4.876,0.025,0.000
V396,-3.268,-0.596,0.000
V397,1.023,-4.276,0.000
V398,10.926,-2.751,0.000
V399,-4.877,0.025,0.000
V400,2.125,-0.348,0.181
V401,26.117,-1.722,0.000
V402,1.068,-2.132,0.000
V403,26.121,-1.722,0.000
V404,2.071,-0.668,0.190
V405,37.912,-0.717,0.334
V406,0.840,-1.796,0.000
V407,14.661,-0.811,0.000
V408,3.791,-0.422,0.139
V409,3.335,-1.061,0.000
V410,23.659,-2.366,0.000
V411,2.670,-1.051,0.000
V412,4.293,-0.462,0.147
V413,2.498,-1.633,0.000
V414,50.435,-1.018,0.000
V415,1.057,-3.130,0.000
V416,0.707,-4.422,0.000
V417,6.758,-4.499,0.000
V418,42.320,-0.005,0.000
V419,-4.357,0.420,0.000
V420,3.671,-0.634,0.000
V421,0.839,-3.802,0.000
V422,4.505,-0.663,0.000
V423,6.767,-4.494,0.000
V424,35.011,-0.074,0.214
V425,10.949,-2.751,0.000
V426,0.746,-4.218,0.000
V427,2.802,-0.126,0.000
V428,7.227,0.395,0.000
V429,0.836,-4.271,0.000
V430,0.734,-2.388,0.000
V431,3.777,-0.033,0.000
V432,6.784,-4.484,0.000
V433,6.794,-4.480,0.000
V434,2.172,-1.055,0.212
V435,6.803,-4.475,0.000
V436,1.057,-3.130,0.000
V437,10.961,-2.751,0.000
V438,2.438,-0.322,0.000
V439,3.115,-0.251,0.000
V440,-2.735,-0.232,0.000
V441,1.057,-3.130,0.000
V442,3.716,-0.078,0.000
V443,1.430,-1.996,0.000
V444,25.057,-0.662,0.167
V445,5.495,-0.305,0.000
V446,4.762,-0.179,0.000
V447,10.964,-2.751,0.000
V448,2.424,-0.067,0.000
V449,4.766,-0.015,0.000
V450,0.849,-3.126,0.000
V451,-5.123,0.258,0.000
V452,1.077,-2.767,0.000
V453,2.322,-0.742,0.000
V454,2.314,0.277,0.000
V455,26.313,-0.007,0.143
V456,0.720,-3.165,0.000
V457,2.898,-0.715,0.000
V458,23.697,-2.366,0.000
V459,24.636,-1.706,0.200
V460,0.746,-4.218,0.000
V461,0.549,-4.196,0.000
V462,10.991,-2.751,0.000
V463,2.898,-0.715,0.000
V464,10.975,-2.751,0.000
V465,1.035,-2.603,0.000
V466,2.755,-0.395,0.000
V467,0.862,-1.323,0.000
V468,40.887,0.005,0.000
V469,56.217,0.011,0.143
V470,5.743,0.173,0.000
V471,0.694,-3.076,0.000
V472,1.057,-3.130,0.000
V473,3.047,0.027,0.000
V474,10.978,-2.751,0.000
V475,3.682,-0.124,0.000
V476,2.500,-1.232,0.000
V477,2.024,-0.745,0.000
V478,0.746,-4.218,0.000
V479,3.449,-1.434,0.000
V480,0.927,-3.153,0.000
V481,6.069,-0.350,0.000
V482,1.354,-2.995,0.000
V483,4.093,-0.354,0.000
V484,28.441,-0.746,0.000
V485,6.880,-4.434,0.000
V486,21.804,-0.758,0.167
V487,-5.897,-0.488,0.000
V488,3.395,0.041,0.000
V489,10.984,-2.751,0.000
V490,6.900,-4.424,0.000
V491,1.570,-2.093,0.000
V492,0.620,-4.239,0.000
V493,-6.068,-0.349,0.000
V494,3.896,-0.309,0.000
V495,6.910,-4.419,0.000
V496,-12.924,-2.364,0.000
V497,41.160,0.017,0.000
V498,4.894,-0.221,0.000
V499,3.774,-0.263,0.000
V500,3.333,-1.061,0.000
