Metodo,Acuracia
GaussianNB,0.7015720081135903
BernoulliNB,0.8997053994011399
KNeighborsClassifier(2),0.9351154254805373
KNeighborsClassifier(3),0.9272457258765575
KNeighborsClassifier(5),0.9311793682990439
KNeighborsClassifier(8),0.9370786245532697
DecisionTreeClassifier(),0.90609243697479
RandomForestClassifier(3_estimators),0.9252921858398533
RandomForestClassifier(5_estimators),0.9336182748961654
RandomForestClassifier,0.9434632473679126
SVM,0.9370786245532697
MLPClassifier,0.9045638945233266
rand1,0.434
rand2,0.502
rand3,0.47
majoritario,0.936
minoritario,0.064
pessimo,0.0
otimo,1.0
