Clf,Score
GaussianNB,370.0200193123855
minoritario,370.0200193123855
pessimo,422.6352519148628
rand1,429.0607029933419
rand2,433.95266666408503
BernoulliNB,436.88801138982114
rand3,437.4956167320383
DecisionTreeClassifier(),446.17678356287536
RandomForestClassifier(3_estimators),446.5376236042165
otimo,450.8965545570224
RandomForestClassifier,451.1805715577819
KNeighborsClassifier(3),451.40650682008715
RandomForestClassifier(5_estimators),456.6373638286754
KNeighborsClassifier(5),457.5782881946092
KNeighborsClassifier(2),457.85092243479636
KNeighborsClassifier(8),464.26654059575736
SVM,464.8408239953784
MLPClassifier,464.8408239953784
majoritario,464.8408239953784
