Clf,Score
GaussianNB,388.2991729010603
minoritario,388.2991729010603
pessimo,434.32514669507134
rand1,438.99504259636007
rand2,442.4577224593091
BernoulliNB,444.5212884745578
rand3,444.9489616935095
DecisionTreeClassifier(),451.261348726813
RandomForestClassifier(3_estimators),451.54130341604133
otimo,455.1028380773659
RandomForestClassifier,455.3339848162525
KNeighborsClassifier(3),455.516303031641
RandomForestClassifier(5_estimators),459.427792781141
KNeighborsClassifier(5),460.0889846976804
KNeighborsClassifier(2),460.2790769463578
KNeighborsClassifier(8),465.054197453429
SVM,465.4618538324063
MLPClassifier,465.4618538324063
majoritario,465.4618538324063
