Clf,Theta
GaussianNB,-0.08257118729205881
BernoulliNB,0.4473023424478719
KNeighborsClassifier(2),0.9703454850835213
KNeighborsClassifier(3),0.7296692664388228
KNeighborsClassifier(5),0.9550074691171021
KNeighborsClassifier(8),1.463901506530802
DecisionTreeClassifier(),0.6334494280760666
RandomForestClassifier(3_estimators),0.6406849599996247
RandomForestClassifier(5_estimators),0.9065145886024629
RandomForestClassifier,0.7248819295202533
SVM,1.5605669649030873
MLPClassifier,1.5605669649030873
rand1,0.31289690278616106
rand2,0.39465478622634226
rand3,0.45861227190800435
majoritario,1.5605669649030873
minoritario,-0.08257118729205881
pessimo,0.2135239760331829
otimo,0.7191484530958816
