,Discriminacao,Dificuldade,Adivinhacao
V1,6.488,0.427,0.030
V2,403.482,-2.052,0.000
V3,965.091,0.680,0.029
V4,-976.851,0.000,0.000
V5,905.996,-0.003,0.053
V6,312.949,-2.049,0.000
V7,484.615,-0.675,0.000
V8,1.119,-3.549,0.000
V9,4.915,-0.575,0.000
V10,-3.319,0.968,0.000
V11,506.035,-2.751,0.000
V12,747.179,-3.109,0.000
V13,506.049,-2.751,0.000
V14,0.482,-6.868,0.000
V15,7.141,1.103,0.030
V16,-3.309,0.723,0.000
V17,1.661,-2.289,0.000
V18,0.649,-4.791,0.000
V19,284.930,-0.005,0.000
V20,485.494,-0.675,0.000
V21,403.498,-2.052,0.000
V22,5.673,0.244,0.054
V23,366.598,-0.677,0.000
V24,486.110,-0.675,0.000
V25,456.356,-0.002,0.000
V26,903.429,-0.002,0.105
V27,1126.552,-0.222,0.000
V28,306.627,-0.679,0.000
V29,2.358,-1.901,0.000
V30,367.759,-0.677,0.000
V31,-4.983,0.111,0.012
V32,1.078,-3.971,0.000
V33,0.843,-3.032,0.000
V34,0.852,-4.046,0.000
V35,0.648,-4.795,0.000
V36,916.525,1.357,0.021
V37,391.096,-0.682,0.000
V38,0.482,-6.868,0.000
V39,1038.955,0.001,0.053
V40,0.482,-6.867,0.000
V41,3.345,0.255,0.000
V42,0.575,-6.528,0.000
V43,477.026,-0.681,0.000
V44,506.063,-2.751,0.000
V45,1055.351,-0.886,0.143
V46,1.987,-1.279,0.000
V47,823.012,0.677,0.029
V48,506.077,-2.751,0.000
V49,2.817,-0.734,0.000
V50,363.260,-0.679,0.000
V51,408.230,-1.360,0.000
V52,853.616,-1.043,0.000
V53,962.077,1.357,0.021
V54,964.554,0.001,0.053
V55,4.437,-0.426,0.147
V56,853.833,-1.043,0.000
V57,403.514,-2.052,0.000
V58,0.750,-4.707,0.000
V59,289.081,-0.005,0.000
V60,-810.757,-3.824,0.102
V61,-3.515,0.900,0.000
V62,1.121,-3.545,0.000
V63,843.071,0.679,0.029
V64,1129.606,-0.224,0.000
V65,0.482,-6.868,0.000
V66,-32.543,-0.635,0.000
V67,784.130,0.678,0.029
V68,5.349,0.632,0.030
V69,906.168,-1.235,0.071
V70,790.882,-0.001,0.053
V71,2.227,-1.366,0.000
V72,-25.641,-0.230,0.947
V73,364.262,-0.679,0.000
V74,771.583,-2.372,0.000
V75,746.107,-1.697,0.000
V76,470.109,-0.002,0.000
V77,-2.931,0.525,0.000
V78,1.803,-3.083,0.000
V79,2.620,-0.874,0.000
V80,371.813,-0.677,0.000
V81,393.571,-0.682,0.000
V82,317.445,-2.049,0.000
V83,0.575,-6.528,0.000
V84,0.648,-4.795,0.000
V85,765.969,-2.393,0.000
V86,570.824,-0.677,0.071
V87,0.575,-6.526,0.000
V88,1.519,-2.147,0.000
V89,1.392,-2.958,0.000
V90,475.338,-0.681,0.000
V91,1132.958,-0.226,0.000
V92,412.926,-1.360,0.000
V93,-1660.511,-0.337,0.009
V94,678.201,0.679,0.057
V95,7.230,0.350,0.053
V96,3.506,0.011,0.000
V97,0.648,-4.795,0.000
V98,402.155,-0.005,0.000
V99,0.852,-4.044,0.000
V100,0.946,-3.008,0.000
V101,627.972,-4.195,0.000
V102,771.147,0.678,0.029
V103,2.477,-1.161,0.000
V104,494.091,-0.675,0.000
V105,842.994,0.679,0.029
V106,0.648,-4.795,0.000
V107,833.029,-0.001,0.053
V108,-3.166,1.198,0.000
V109,403.529,-2.052,0.000
V110,2.018,-1.960,0.000
V111,145.748,-0.003,0.000
V112,340.444,-2.751,0.000
V113,2.969,-2.563,0.000
