Metodo,Acuracia
GaussianNB,0.8858858858858859
BernoulliNB,0.9309309309309309
KNeighborsClassifier(2),0.933933933933934
KNeighborsClassifier(3),0.9159159159159159
KNeighborsClassifier(5),0.9369369369369369
KNeighborsClassifier(8),0.9369369369369369
DecisionTreeClassifier(),0.9219219219219219
RandomForestClassifier(3_estimators),0.924924924924925
RandomForestClassifier(5_estimators),0.933933933933934
RandomForestClassifier,0.9459459459459459
SVM,0.93993993993994
MLPClassifier,0.9309309309309309
rand1,0.5285285285285285
rand2,0.4594594594594595
rand3,0.4804804804804805
majoritario,0.9309309309309309
minoritario,0.06906906906906907
pessimo,0.0
otimo,1.0
