Clf,Score
minoritario,280.0363508191332
pessimo,280.67986992795096
rand3,288.2043922152841
rand1,290.92282080379294
rand2,291.8596086711619
GaussianNB,294.0154882080759
KNeighborsClassifier(3),298.07680687787587
DecisionTreeClassifier(),298.3009354157689
otimo,298.5758658898857
RandomForestClassifier(3_estimators),306.4166718325043
BernoulliNB,310.5417230770854
KNeighborsClassifier(2),310.5417230770854
KNeighborsClassifier(5),310.5417230770854
KNeighborsClassifier(8),310.5417230770854
RandomForestClassifier,310.5417230770854
SVM,310.5417230770854
MLPClassifier,310.5417230770854
majoritario,310.5417230770854
RandomForestClassifier(5_estimators),310.6093872054253
