Clf,Theta
GaussianNB,0.6812150851474454
BernoulliNB,1.4562833357582181
KNeighborsClassifier(2),1.4562833357582181
KNeighborsClassifier(3),0.9128585353187142
KNeighborsClassifier(5),1.4562833357582181
KNeighborsClassifier(8),1.4562833357582181
DecisionTreeClassifier(),0.9711411037401277
RandomForestClassifier(3_estimators),1.358751583494594
RandomForestClassifier(5_estimators),1.3680244233546461
RandomForestClassifier,1.4562833357582181
SVM,1.4562833357582181
MLPClassifier,1.4562833357582181
rand1,0.6796488925912227
rand2,0.6800446954368486
rand3,0.6786009849933362
majoritario,1.4562833357582181
minoritario,0.5807144142833395
pessimo,0.6695256141422091
otimo,1.0451502166474214
