Metodo,Acuracia
GaussianNB,0.2108423686405338
BernoulliNB,0.7530775646371978
KNeighborsClassifier(2),0.8857714762301917
KNeighborsClassifier(3),0.8610592160133445
KNeighborsClassifier(5),0.8921434528773977
KNeighborsClassifier(8),0.8967306088407005
DecisionTreeClassifier(),0.8729190992493745
RandomForestClassifier(3_estimators),0.879349457881568
RandomForestClassifier(5_estimators),0.8839115929941619
RandomForestClassifier,0.896722268557131
SVM,0.9058715596330273
MLPClassifier,0.7204837364470393
rand1,0.5053304904051172
rand2,0.5053304904051172
rand3,0.5031982942430704
majoritario,0.8976545842217484
minoritario,0.1023454157782516
pessimo,0.0
otimo,1.0
