Clf,Score
GaussianNB,365.6558416468506
BernoulliNB,365.6558416468506
rand2,365.6558416468506
minoritario,365.6558416468506
pessimo,365.6558416468506
rand1,367.0486686376615
rand3,371.36971221789537
DecisionTreeClassifier(),396.74363787154664
KNeighborsClassifier(2),402.9196561433074
KNeighborsClassifier(3),402.9196561433074
KNeighborsClassifier(5),402.9196561433074
KNeighborsClassifier(8),402.9196561433074
RandomForestClassifier(3_estimators),402.9196561433074
RandomForestClassifier(5_estimators),402.9196561433074
RandomForestClassifier,402.9196561433074
SVM,402.9196561433074
MLPClassifier,402.9196561433074
majoritario,402.9196561433074
otimo,402.9196561433074
