Clf,Score
GaussianNB,391.123281325315
BernoulliNB,391.123281325315
SVM,391.123281325315
rand2,391.123281325315
majoritario,391.123281325315
minoritario,391.123281325315
pessimo,391.123281325315
rand1,416.5509701286299
rand3,424.1845457227698
DecisionTreeClassifier(),488.74333226239133
RandomForestClassifier(3_estimators),488.8335403564463
RandomForestClassifier(5_estimators),490.9143635151364
KNeighborsClassifier(5),491.4487025431197
KNeighborsClassifier(8),493.7531648155098
MLPClassifier,495.16128043938477
KNeighborsClassifier(2),496.3685057990899
KNeighborsClassifier(3),496.3685057990899
RandomForestClassifier,496.3685057990899
otimo,496.3685057990899
