Clf,Score
GaussianNB,392.34739100512326
BernoulliNB,392.34739100512326
SVM,392.34739100512326
rand2,392.34739100512326
majoritario,392.34739100512326
minoritario,392.34739100512326
pessimo,392.34739100512326
rand1,417.7655668323883
rand3,425.3968153968299
DecisionTreeClassifier(),489.93136482849854
RandomForestClassifier(3_estimators),490.02151795355775
RandomForestClassifier(5_estimators),492.100992138477
KNeighborsClassifier(5),492.63486675762806
KNeighborsClassifier(8),494.93597786110774
MLPClassifier,496.3418145916233
KNeighborsClassifier(2),497.54620023447677
KNeighborsClassifier(3),497.54620023447677
RandomForestClassifier,497.54620023447677
otimo,497.54620023447677
