Clf,Theta
GaussianNB,-0.7607137164988711
BernoulliNB,-0.7607137164988711
KNeighborsClassifier(2),3.1157037552291147
KNeighborsClassifier(3),3.1157037552291147
KNeighborsClassifier(5),0.7245251841597877
KNeighborsClassifier(8),1.1369088257616649
DecisionTreeClassifier(),0.5568786951275569
RandomForestClassifier(3_estimators),0.5613897339590628
RandomForestClassifier(5_estimators),0.6798425934695468
RandomForestClassifier,3.1157037552291147
SVM,-0.7607137164988711
MLPClassifier,1.5907041817424379
rand1,-0.5536704211454343
rand2,-0.7607137164988711
rand3,-0.4952937849784192
majoritario,-0.7607137164988711
minoritario,-0.7607137164988711
pessimo,-0.7607137164988711
otimo,3.1157037552291147
