Metodo,Acuracia
GaussianNB,0.766874766199759
BernoulliNB,0.7603491416933372
KNeighborsClassifier(2),0.8794588303753272
KNeighborsClassifier(3),0.8845567147429237
KNeighborsClassifier(5),0.8741493827673636
KNeighborsClassifier(8),0.8586508167421755
DecisionTreeClassifier(),0.8686524793216677
RandomForestClassifier(3_estimators),0.8804842262770688
RandomForestClassifier(5_estimators),0.889046926306164
RandomForestClassifier,0.8965896338168668
SVM,0.8433555010598944
MLPClassifier,0.8521251922357538
rand1,0.5149700598802395
rand2,0.46706586826347307
rand3,0.5548902195608783
majoritario,0.7065868263473054
minoritario,0.2934131736526946
pessimo,0.0
otimo,1.0
