Metodo,Acuracia
GaussianNB,0.7524950099800399
BernoulliNB,0.7325349301397206
KNeighborsClassifier(2),0.8822355289421158
KNeighborsClassifier(3),0.8882235528942116
KNeighborsClassifier(5),0.8962075848303394
KNeighborsClassifier(8),0.8702594810379242
DecisionTreeClassifier(),0.874251497005988
RandomForestClassifier(3_estimators),0.8822355289421158
RandomForestClassifier(5_estimators),0.8802395209580839
RandomForestClassifier,0.8982035928143712
SVM,0.812375249500998
MLPClassifier,0.8363273453093812
rand1,0.5149700598802395
rand2,0.46706586826347307
rand3,0.5548902195608783
majoritario,0.7065868263473054
minoritario,0.2934131736526946
pessimo,0.0
otimo,1.0
