Clf,Score
BernoulliNB,257.9700583411035
majoritario,297.4481979787796
otimo,344.76717885713236
RandomForestClassifier,352.09249473077597
KNeighborsClassifier(2),352.5022548299474
KNeighborsClassifier(5),352.9094244840677
KNeighborsClassifier(3),353.3025221518118
KNeighborsClassifier(8),354.7558456459786
GaussianNB,355.55451232345047
RandomForestClassifier(5_estimators),357.42589163822095
RandomForestClassifier(3_estimators),358.2987600466708
rand2,359.9418996535898
pessimo,360.9459616867445
rand3,361.00070375781326
rand1,361.24244405069106
DecisionTreeClassifier(),362.4558272916442
SVM,362.7211275513767
minoritario,371.92944139407325
MLPClassifier,372.8487205670432
