Clf,Theta
GaussianNB,-0.1617733549562819
BernoulliNB,-1.1134390332162665
KNeighborsClassifier(2),-0.2845641514131002
KNeighborsClassifier(3),-0.2565239245966788
KNeighborsClassifier(5),-0.2706492999269902
KNeighborsClassifier(8),-0.1980444344792168
DecisionTreeClassifier(),0.1929136612897794
RandomForestClassifier(3_estimators),-0.024211515082718703
RandomForestClassifier(5_estimators),-0.06886853961550682
RandomForestClassifier,-0.29786900217550905
SVM,0.20743781259935737
MLPClassifier,0.9107186353782822
rand1,0.1271380656027548
rand2,0.059434945936308936
rand3,0.11432541598691184
majoritario,-0.8376255830482016
minoritario,0.7924816723283836
pessimo,0.11144017226116991
otimo,-0.4580182402757629
