,Discriminacao,Dificuldade,Adivinhacao
V1,1.481,-2.200,0.082
V2,2.749,-1.843,0.053
V3,-2.500,-1.665,0.002
V4,1.963,-2.066,0.070
V5,3.037,-1.254,0.049
V6,4.422,-1.792,0.131
V7,5.837,-0.184,0.579
V8,3.907,-1.449,0.045
V9,-2.842,-2.054,0.002
V10,2.645,-1.487,0.059
V11,5.565,-1.603,0.067
V12,4.185,-0.164,0.624
V13,1.893,-1.670,0.084
V14,3.460,1.348,0.358
V15,5.594,-0.918,0.404
V16,1.662,-1.803,0.080
V17,-1.475,-2.158,0.003
V18,2.904,-1.660,0.060
V19,6.535,-0.991,0.309
V20,-1.657,-1.337,0.003
V21,-1.051,-1.848,0.008
V22,3.695,-1.885,0.050
V23,1.046,-1.407,0.135
V24,4.706,-1.842,0.046
V25,3.354,-1.446,0.083
V26,2.795,2.515,0.243
V27,-1.351,2.067,0.052
V28,4.434,-0.788,0.406
V29,2.320,-1.615,0.103
V30,2.488,-1.639,0.052
V31,4.407,-2.358,0.138
V32,2.084,-1.853,0.076
V33,-1.600,-1.088,0.003
V34,5.563,-1.603,0.067
V35,5.084,-0.329,0.607
V36,1.400,-2.298,0.071
V37,2.805,-2.001,0.057
V38,1.960,-2.073,0.062
V39,4.707,-1.842,0.047
V40,-2.274,-2.185,0.002
V41,6.489,-1.127,0.391
V42,5.560,-1.603,0.067
V43,0.937,-1.592,0.168
V44,1.598,7.518,0.038
V45,7.294,-1.084,0.310
V46,5.751,-1.192,0.459
V47,2.805,-2.001,0.058
V48,4.031,-1.446,0.034
V49,3.613,-1.592,0.047
V50,5.507,-0.921,0.403
V51,5.561,-1.603,0.067
V52,4.711,-2.136,0.039
V53,3.882,-1.877,0.046
V54,-0.667,2.317,0.055
V55,-2.592,-1.935,0.003
V56,3.956,-0.248,0.700
V57,5.750,-1.017,0.397
V58,2.597,-1.586,0.072
V59,-0.736,-2.036,0.061
V60,3.357,-1.445,0.084
V61,5.466,-0.108,0.575
V62,8.512,0.156,0.486
V63,1.991,-1.736,0.100
V64,6.489,-1.127,0.391
V65,0.383,-1.907,0.125
V66,2.839,-0.946,0.475
V67,-0.962,-1.671,0.036
V68,7.294,-1.084,0.310
V69,5.705,-1.242,0.144
V70,4.818,-2.035,0.114
V71,-2.154,0.179,0.005
V72,4.240,-0.565,0.329
V73,1.586,-1.698,0.108
V74,1.617,-1.941,0.088
V75,5.554,-0.834,0.409
V76,4.127,-1.866,0.045
V77,3.682,-2.160,0.042
V78,5.689,-0.960,0.532
V79,6.146,-1.356,0.058
V80,3.087,-2.187,0.049
V81,2.416,-1.758,0.071
V82,4.711,-2.136,0.040
V83,4.402,-2.358,0.140
V84,6.486,-0.992,0.309
V85,-1.376,-0.613,0.004
V86,1.586,-1.819,0.099
V87,3.416,-0.781,0.330
V88,7.281,0.131,0.573
V89,4.050,-0.635,0.325
V90,4.842,-2.035,0.113
V91,7.693,0.070,0.450
V92,2.230,-2.153,0.053
V93,-0.982,-0.107,0.014
V94,1.788,-1.733,0.078
V95,4.446,-0.688,0.538
V96,5.557,-1.603,0.067
V97,-0.624,0.781,0.068
V98,-1.828,-1.781,0.002
V99,5.556,-1.603,0.067
V100,2.259,-2.141,0.062
V101,2.230,-2.153,0.053
V102,1.760,-2.020,0.069
V103,-3.677,-1.916,0.002
V104,2.700,-1.486,0.048
V105,5.742,-1.776,0.075
V106,2.259,-2.141,0.063
V107,2.258,-2.139,0.071
V108,6.145,-1.356,0.058
V109,5.732,-1.018,0.396
V110,3.012,-1.544,0.052
V111,6.535,-0.991,0.309
V112,2.330,-2.350,0.051
V113,2.774,-1.839,0.055
V114,1.554,-1.840,0.100
V115,6.490,-1.127,0.391
V116,3.755,-1.269,0.049
V117,4.397,-2.357,0.142
V118,1.733,-2.180,0.077
V119,0.168,-1.196,0.268
V120,3.194,-0.671,0.466
V121,5.553,-1.603,0.068
V122,6.490,-1.127,0.391
V123,5.713,-1.468,0.063
V124,6.490,-1.127,0.391
V125,-0.517,-0.475,0.091
V126,6.723,-1.259,0.052
V127,1.203,5.711,0.468
V128,0.242,-3.670,0.131
V129,9.981,0.282,0.381
V130,7.359,-0.192,0.308
V131,1.599,-1.306,0.174
V132,-1.227,-2.037,0.003
V133,6.765,0.177,0.585
V134,3.204,-1.514,0.040
V135,-1.414,-1.690,0.006
V136,5.736,-1.776,0.075
V137,1.960,-2.073,0.062
V138,7.581,0.387,0.498
V139,1.960,-2.073,0.063
V140,5.031,-1.626,0.036
V141,0.430,0.713,0.246
V142,6.535,-0.991,0.309
V143,-3.298,-1.964,0.149
V144,4.432,-1.149,0.046
V145,3.696,-1.884,0.050
V146,4.810,-2.034,0.117
V147,5.264,-0.174,0.619
V148,1.604,-1.549,0.061
V149,6.144,-1.356,0.058
V150,4.835,-2.034,0.115
V151,3.000,-1.546,0.053
V152,1.469,-1.913,0.096
V153,7.295,-1.084,0.310
V154,4.808,-2.034,0.117
V155,-0.821,-0.576,0.022
V156,0.168,-8.797,0.085
V157,1.901,-2.289,0.061
V158,5.944,-1.479,0.136
V159,5.744,-0.246,0.424
V160,1.738,-1.733,0.095
V161,1.836,-2.123,0.073
V162,6.851,-1.212,0.182
V163,-2.267,-2.192,0.002
V164,6.491,-1.127,0.391
V165,6.278,-0.846,0.310
V166,-0.836,-2.437,0.182
V167,1.966,-2.060,0.077
V168,3.696,-1.884,0.050
V169,6.252,-1.078,0.540
V170,1.240,-2.018,0.096
V171,-2.331,-2.064,0.020
V172,1.560,-2.307,0.076
V173,-1.274,-1.441,0.003
V174,7.295,-1.084,0.310
V175,6.491,-1.127,0.391
V176,0.962,0.593,0.437
V177,4.803,-0.928,0.492
V178,3.034,-2.190,0.054
V179,6.491,-1.127,0.391
V180,5.733,-1.018,0.396
V181,-1.861,-1.472,0.002
V182,1.868,-1.801,0.086
V183,7.804,-0.596,0.309
V184,1.636,-2.085,0.076
V185,4.776,-1.172,0.158
V186,2.446,-1.242,0.073
V187,4.350,-1.635,0.073
V188,2.127,-1.583,0.083
V189,3.500,-1.746,0.048
V190,7.621,-1.445,0.031
V191,6.535,-0.991,0.309
V192,6.154,-0.758,0.527
V193,4.456,-1.624,0.076
V194,5.881,-0.221,0.406
V195,1.945,-1.777,0.077
V196,2.230,-2.153,0.053
V197,5.547,-1.603,0.068
V198,5.551,0.711,0.320
V199,5.546,-1.603,0.068
V200,2.806,-2.004,0.051
V201,2.230,-2.153,0.054
V202,3.034,-2.190,0.055
V203,6.126,-0.849,0.310
V204,3.876,-0.832,0.325
V205,-2.709,-1.254,0.003
V206,8.385,1.037,0.170
V207,3.702,-1.885,0.048
V208,5.690,-0.960,0.532
V209,5.209,0.678,0.513
V210,2.805,-2.001,0.058
V211,5.950,-1.478,0.137
V212,-1.856,-1.813,0.125
V213,10.841,0.262,0.331
V214,4.708,-1.842,0.047
V215,4.800,-1.411,0.109
V216,6.190,0.068,0.577
V217,1.619,1.469,0.353
V218,5.941,-1.366,0.033
V219,-1.726,-1.451,0.003
V220,2.551,-0.837,0.509
V221,6.504,-0.992,0.309
V222,2.938,-1.653,0.064
V223,1.825,-1.719,0.075
V224,-3.864,-1.907,0.002
V225,4.711,-2.136,0.040
V226,2.487,2.769,0.247
V227,2.773,-1.838,0.056
V228,6.492,-1.127,0.391
V229,4.955,-1.060,0.471
V230,6.492,-1.127,0.391
V231,2.693,2.842,0.255
V232,-1.731,-1.449,0.003
V233,-1.925,-1.292,0.003
V234,3.527,2.652,0.332
V235,4.711,-2.136,0.040
V236,5.696,-1.496,0.128
V237,6.492,-1.127,0.390
V238,5.957,-1.478,0.138
V239,4.224,-0.829,0.316
V240,-2.793,-2.013,0.124
V241,3.682,-2.160,0.042
V242,8.934,0.458,0.319
V243,1.901,-2.289,0.061
V244,5.364,-1.483,0.036
V245,2.989,-0.889,0.515
V246,2.717,-1.850,0.048
V247,3.682,-2.160,0.043
V248,6.493,-1.128,0.390
V249,3.696,-1.884,0.050
V250,3.034,-2.190,0.055
V251,2.593,-1.589,0.070
V252,8.593,0.261,0.514
V253,2.596,-1.580,0.078
V254,1.412,-1.830,0.105
V255,5.498,-0.921,0.404
V256,3.620,-1.591,0.049
V257,2.382,-1.774,0.073
V258,5.359,-1.483,0.035
V259,2.946,-0.705,0.358
V260,2.330,-2.350,0.051
V261,4.389,-2.357,0.145
V262,4.075,-0.379,0.373
V263,3.034,-2.190,0.055
V264,2.330,-2.350,0.051
V265,-1.897,-1.866,0.002
V266,-1.770,-1.606,0.002
V267,4.806,-2.034,0.118
V268,-1.815,-2.050,0.003
V269,3.414,-1.433,0.091
V270,-1.036,-1.043,0.007
V271,1.390,-1.433,0.176
V272,6.143,-1.356,0.059
V273,0.688,-1.735,0.100
V274,2.421,-1.261,0.064
V275,4.804,-2.034,0.118
V276,5.364,-1.483,0.036
V277,0.057,-12.603,0.243
V278,1.960,-2.072,0.063
V279,6.120,-0.849,0.310
V280,3.087,-2.187,0.050
V281,5.650,0.242,0.554
V282,-0.463,-0.473,0.130
V283,5.726,-1.777,0.076
V284,2.084,-1.853,0.077
V285,2.245,-2.148,0.059
V286,-4.313,-1.711,0.373
V287,2.058,-1.737,0.076
V288,5.752,-1.192,0.459
V289,5.705,-1.495,0.128
V290,4.547,1.890,0.196
V291,3.679,-1.699,0.057
V292,1.726,-2.187,0.074
V293,2.788,-2.007,0.051
V294,4.710,-1.841,0.047
V295,4.374,-1.319,0.046
V296,7.295,-1.084,0.310
V297,-2.425,-1.045,0.071
V298,2.927,-1.652,0.067
V299,4.829,-2.034,0.117
V300,4.385,-2.357,0.147
V301,2.330,-2.350,0.052
V302,4.711,-2.136,0.040
V303,1.613,-1.948,0.085
V304,6.165,-0.917,0.309
V305,2.689,0.633,0.397
V306,2.330,-2.350,0.052
V307,2.213,-1.342,0.106
V308,6.144,0.113,0.643
V309,5.960,-1.340,0.159
V310,2.813,5.606,0.024
V311,2.230,-2.152,0.054
V312,2.213,-1.682,0.079
V313,2.287,-1.947,0.062
V314,4.801,-2.033,0.119
V315,1.665,-1.774,0.097
V316,5.031,-1.626,0.037
V317,2.808,-2.000,0.058
