Clf,Score
KNeighborsClassifier(2),241.64012900925093
RandomForestClassifier(3_estimators),241.64012900925093
rand1,241.64012900925093
rand2,241.64012900925093
rand3,241.64012900925093
majoritario,241.64012900925093
pessimo,242.74189548741327
KNeighborsClassifier(8),248.52555742913808
KNeighborsClassifier(5),249.5252557326826
KNeighborsClassifier(3),251.17384053337003
BernoulliNB,253.05166323223642
minoritario,258.62456148594345
DecisionTreeClassifier(),259.6871019004397
RandomForestClassifier,260.0097802763953
RandomForestClassifier(5_estimators),261.5662714114025
SVM,261.9158510083719
GaussianNB,262.7051518204071
otimo,266.0616957108146
MLPClassifier,267.78333324174235
