Clf,Score
KNeighborsClassifier(2),253.00690950921873
RandomForestClassifier(3_estimators),253.00690950921873
rand1,253.00690950921873
rand2,253.00690950921873
rand3,253.00690950921873
majoritario,253.00690950921873
pessimo,253.87735932877789
KNeighborsClassifier(8),258.29200720941105
KNeighborsClassifier(5),259.0367945339216
KNeighborsClassifier(3),260.26150555094324
BernoulliNB,261.65902638861405
minoritario,265.96013043611543
DecisionTreeClassifier(),266.7909325569876
RandomForestClassifier,267.0395744352982
RandomForestClassifier(5_estimators),268.19222824389925
SVM,268.4354117866394
GaussianNB,268.9535200179414
otimo,270.86969461493555
MLPClassifier,271.66858019961967
