,Discriminacao,Dificuldade,Adivinhacao
V1,3.913,-0.110,0.098
V2,-1.296,1.863,0.072
V3,-5.965,-0.092,0.079
V4,-3.728,0.906,0.101
V5,-0.778,5.839,0.064
V6,-3.729,0.905,0.101
V7,-3.729,0.905,0.101
V8,-5.277,2.716,0.050
V9,58.114,0.411,0.028
V10,-3.399,0.067,0.066
V11,-3.730,0.904,0.102
V12,-3.730,0.904,0.102
V13,-3.952,0.717,0.100
V14,-6.560,0.479,0.050
V15,-0.524,14.671,0.056
V16,-3.731,0.903,0.102
V17,-2.930,0.145,0.077
V18,-3.148,-0.012,0.075
V19,-3.193,0.006,0.067
V20,-2.595,0.046,0.072
V21,-3.731,0.902,0.103
V22,-1.845,2.035,0.069
V23,-2.105,3.023,0.056
V24,-3.732,0.902,0.103
V25,1.268,6.621,0.034
V26,-7.725,0.475,0.048
V27,-3.953,0.716,0.101
V28,0.393,-12.953,0.065
V29,-1.648,0.934,0.095
V30,-3.953,0.716,0.101
V31,-3.733,0.901,0.104
V32,-3.733,0.901,0.104
V33,7.066,0.435,0.722
V34,-3.733,0.900,0.104
V35,12.489,0.573,0.625
V36,-3.954,0.715,0.102
V37,-3.734,0.899,0.105
V38,-3.734,0.899,0.105
V39,-3.735,0.899,0.105
V40,-3.735,0.898,0.106
V41,0.928,-0.390,0.191
V42,-1.750,0.861,0.072
V43,-3.735,0.898,0.106
V44,-3.735,0.898,0.106
V45,-3.736,0.897,0.106
V46,-3.736,0.897,0.107
V47,-3.736,0.896,0.107
V48,2.316,0.321,0.050
V49,-0.778,5.839,0.065
V50,4.477,0.465,0.348
V51,5.818,0.810,0.709
V52,-3.737,0.896,0.107
V53,3.329,-0.193,0.052
V54,-3.957,0.712,0.105
V55,2.494,0.446,0.073
V56,-2.105,3.023,0.056
V57,-3.957,0.712,0.105
V58,11.232,0.551,0.629
V59,-3.738,0.895,0.108
V60,-3.738,0.895,0.108
V61,-2.920,1.621,0.056
V62,-3.738,0.894,0.108
V63,-3.739,0.894,0.109
V64,-1.085,2.056,0.073
V65,-3.886,-0.027,0.065
V66,4.894,1.037,0.820
V67,-3.739,0.893,0.109
V68,-3.739,0.893,0.109
V69,-3.739,0.893,0.109
V70,-3.958,0.709,0.107
V71,-3.740,0.892,0.110
V72,-3.740,0.892,0.110
V73,-3.741,0.891,0.111
V74,-3.741,0.891,0.111
V75,-3.741,0.891,0.111
V76,-3.741,0.890,0.111
V77,-0.778,5.839,0.065
V78,-1.497,1.096,0.072
V79,-0.899,-0.091,0.093
V80,-3.959,0.707,0.109
V81,-3.742,0.890,0.112
V82,-3.742,0.889,0.112
V83,-0.938,3.713,0.072
V84,-2.434,0.989,0.067
V85,-3.960,0.707,0.110
V86,-3.261,0.457,0.065
V87,-3.743,0.888,0.113
V88,-3.960,0.706,0.110
V89,-4.054,0.159,0.062
V90,-3.960,0.706,0.110
V91,-3.809,-0.017,0.063
V92,-3.960,0.706,0.111
V93,-4.802,0.120,0.056
V94,-3.961,0.705,0.111
V95,-5.918,-0.094,0.088
V96,-3.744,0.886,0.114
V97,-3.745,0.886,0.114
V98,-3.745,0.886,0.115
V99,2.626,-0.580,0.114
V100,-3.745,0.885,0.115
V101,-3.561,-0.155,0.062
V102,-6.301,1.392,0.058
V103,-3.745,0.885,0.115
V104,-3.746,0.885,0.116
V105,11.724,0.519,0.490
V106,-0.657,6.882,0.067
V107,-5.856,-0.059,0.091
V108,-2.254,2.075,0.057
V109,-3.746,0.884,0.116
V110,-4.937,1.724,0.051
V111,-3.746,0.884,0.116
V112,-3.747,0.883,0.117
V113,-4.797,-0.215,0.087
V114,-6.560,0.479,0.050
V115,-3.747,0.883,0.117
V116,-3.747,0.882,0.117
V117,-3.748,0.882,0.118
V118,-2.243,1.119,0.066
V119,58.114,0.411,0.029
V120,3.105,1.038,0.070
V121,-1.369,3.643,0.062
V122,-3.748,0.881,0.118
V123,-3.748,0.881,0.118
V124,8.886,0.619,0.665
V125,-1.600,3.272,0.059
V126,7.325,1.202,0.046
V127,-0.761,3.263,0.081
V128,-3.963,0.700,0.116
V129,-3.749,0.880,0.119
V130,-3.749,0.880,0.119
V131,2.653,-0.228,0.077
V132,3.071,-0.081,0.045
