Metodo,Acuracia
GaussianNB,0.7864271457085829
BernoulliNB,0.6766467065868264
KNeighborsClassifier(2),0.9021956087824351
KNeighborsClassifier(3),0.9181636726546906
KNeighborsClassifier(5),0.9221556886227545
KNeighborsClassifier(8),0.9141716566866267
DecisionTreeClassifier(),0.8662674650698603
RandomForestClassifier(3_estimators),0.8682634730538922
RandomForestClassifier(5_estimators),0.8842315369261478
RandomForestClassifier,0.9101796407185628
SVM,0.9101796407185628
MLPClassifier,0.9001996007984032
rand1,0.1596806387225549
rand2,0.14770459081836326
rand3,0.1936127744510978
majoritario,0.2375249500998004
minoritario,0.09780439121756487
pessimo,0.0
otimo,1.0
