Clf,Score
KNeighborsClassifier(5),59.56574125620481
KNeighborsClassifier(8),59.56574125620481
SVM,59.56574125620481
MLPClassifier,69.52384457626225
KNeighborsClassifier(3),70.33178050236106
RandomForestClassifier,71.87625696359572
RandomForestClassifier(5_estimators),72.97381805908614
otimo,73.84869861371308
BernoulliNB,74.28243375228372
KNeighborsClassifier(2),74.3158033081117
GaussianNB,75.19254460383127
RandomForestClassifier(3_estimators),75.23528749574287
DecisionTreeClassifier(),75.82848015960033
rand3,79.0760883161232
majoritario,79.42475626381584
pessimo,79.47781618470057
rand1,79.70164158437005
rand2,79.79040205071914
minoritario,80.82924871428202
