Clf,Score
minoritario,129.29527351729132
rand2,132.5442025093046
rand1,132.78915717294237
pessimo,133.4104744120537
majoritario,133.5599828950621
rand3,134.58784905176577
DecisionTreeClassifier(),165.28827365659444
RandomForestClassifier(3_estimators),173.53899203114165
GaussianNB,174.05860648073718
KNeighborsClassifier(2),183.239310174957
BernoulliNB,183.5440292786105
otimo,187.38570842036077
RandomForestClassifier(5_estimators),195.40981926322524
RandomForestClassifier,207.88553254213159
KNeighborsClassifier(3),230.1285885385225
MLPClassifier,243.519654685009
KNeighborsClassifier(5),349.2640390910406
KNeighborsClassifier(8),349.2640390910406
SVM,349.2640390910406
