Clf,Theta
GaussianNB,1.986998024750828
BernoulliNB,1.711376005224649
KNeighborsClassifier(2),1.7182711797955532
KNeighborsClassifier(3),1.1836815575105013
KNeighborsClassifier(5),0.6001451815807294
KNeighborsClassifier(8),0.6001451815807294
DecisionTreeClassifier(),2.3791728651062645
RandomForestClassifier(3_estimators),2.0067842472600876
RandomForestClassifier(5_estimators),1.5021124385989824
RandomForestClassifier,1.358363672972908
SVM,0.6001451815807294
MLPClassifier,1.10287165870311
rand1,7.394703038101323
rand2,7.543656214070288
rand3,6.497425174080041
majoritario,6.974746526384668
minoritario,12.643954070624796
pessimo,7.051248851381734
otimo,1.6321222459429607
