Clf,Score
majoritario,61.71506562399059
minoritario,61.71506562399059
pessimo,61.71506562399059
rand2,62.04270108840058
BernoulliNB,91.53633710826747
rand3,110.16075396100963
rand1,117.22122934167673
GaussianNB,409.9112213575352
KNeighborsClassifier(8),433.5414737448442
DecisionTreeClassifier(),434.4665845874545
KNeighborsClassifier(5),434.8352942386808
SVM,437.60120055597855
KNeighborsClassifier(3),438.0578101193819
KNeighborsClassifier(2),440.3569062375294
RandomForestClassifier(3_estimators),446.88687525928157
RandomForestClassifier,448.12975700377274
RandomForestClassifier(5_estimators),449.44242126446693
MLPClassifier,460.2276157290107
otimo,466.63660263373595
