Metodo,Acuracia
GaussianNB,0.7049723756906078
BernoulliNB,0.4386740331491713
KNeighborsClassifier(2),0.8988950276243093
KNeighborsClassifier(3),0.9071823204419889
KNeighborsClassifier(5),0.901657458563536
KNeighborsClassifier(8),0.8961325966850827
DecisionTreeClassifier(),0.9077348066298342
RandomForestClassifier(3_estimators),0.9093922651933701
RandomForestClassifier(5_estimators),0.919889502762431
RandomForestClassifier,0.9265193370165745
SVM,0.8574585635359118
MLPClassifier,0.919889502762431
rand1,0.136
rand2,0.134
rand3,0.15
majoritario,0.142
minoritario,0.142
pessimo,0.0
otimo,1.0
