Clf,Theta
GaussianNB,-0.5151313680002321
BernoulliNB,-3.4130969919387337
KNeighborsClassifier(2),0.12730529583237074
KNeighborsClassifier(3),0.057970564222734916
KNeighborsClassifier(5),-0.03080190635021696
KNeighborsClassifier(8),-0.06416625075609274
DecisionTreeClassifier(),-0.04043313033939414
RandomForestClassifier(3_estimators),0.3751007793481291
RandomForestClassifier(5_estimators),0.5156322390814779
RandomForestClassifier,0.4384684704117441
SVM,0.044849695453539104
MLPClassifier,3.403772587020359
rand1,-3.0529575255651134
rand2,-4.447733880910522
rand3,-3.138966153837625
majoritario,-4.486890915279735
minoritario,-4.486890915279735
pessimo,-4.486890915279735
otimo,186.66125476161633
