,Discriminacao,Dificuldade,Adivinhacao
V1,3.870,-1.628,0.093
V2,5.737,-0.677,0.246
V3,4.319,-2.550,0.054
V4,4.651,-2.199,0.054
V5,2.905,-2.624,0.070
V6,2.464,-0.955,0.038
V7,2.778,-1.857,0.120
V8,5.233,-1.559,0.026
V9,2.950,-2.446,0.078
V10,2.629,-2.585,0.102
V11,3.819,-2.110,0.058
V12,3.015,-2.791,0.062
V13,-0.298,-5.380,0.111
V14,3.435,-2.308,0.066
V15,7.714,0.269,0.464
V16,3.450,-2.648,0.059
V17,2.054,-0.804,0.057
V18,-0.951,-3.136,0.005
V19,4.079,-0.868,0.390
V20,2.693,-2.609,0.080
V21,3.438,-2.787,0.056
V22,3.450,-2.648,0.059
V23,-0.531,-5.693,0.010
V24,2.719,-1.880,0.113
V25,4.317,-2.551,0.053
V26,4.322,-1.235,0.255
V27,2.950,-2.446,0.078
V28,0.487,-2.643,0.110
V29,6.838,-1.501,0.107
V30,1.061,0.103,0.031
V31,2.064,-1.541,0.034
V32,2.750,-1.380,0.230
V33,2.271,-2.135,0.120
V34,2.415,-2.773,0.103
V35,1.778,-0.378,0.082
V36,2.230,-1.095,0.190
V37,2.095,-2.696,0.062
V38,2.749,-1.863,0.119
V39,2.467,-1.284,0.093
V40,2.206,-2.213,0.082
V41,0.395,0.233,0.204
V42,3.289,-0.355,0.174
V43,1.856,-2.624,0.120
V44,2.629,-2.585,0.103
V45,2.432,-2.342,0.125
V46,2.215,-3.000,0.106
V47,1.930,0.124,0.211
V48,3.186,-2.250,0.087
V49,2.158,-2.191,0.089
V50,2.332,-1.283,0.034
V51,-0.790,-2.907,0.009
V52,7.182,0.666,0.010
V53,3.627,-2.332,0.063
V54,4.087,-0.635,0.117
V55,4.796,0.335,0.293
V56,1.769,-3.050,0.130
V57,2.978,-1.838,0.122
V58,2.095,-3.309,0.079
V59,3.628,-0.169,0.467
V60,8.242,0.067,0.390
V61,0.188,10.371,0.132
V62,1.450,-0.890,0.072
V63,2.210,-2.147,0.112
V64,2.901,-2.437,0.082
V65,3.935,-2.368,0.057
V66,2.649,-2.602,0.086
V67,2.719,-1.881,0.113
V68,2.511,-0.664,0.332
V69,3.172,-2.474,0.067
V70,2.269,-3.270,0.070
V71,-0.508,-1.971,0.031
V72,2.588,-2.791,0.075
V73,2.907,-3.446,0.054
V74,3.935,-2.367,0.057
V75,0.371,5.875,0.323
V76,2.869,-2.422,0.092
V77,2.826,-0.986,0.114
V78,2.628,-2.596,0.091
V79,1.677,-3.944,0.093
V80,2.420,-0.475,0.062
V81,2.707,-1.877,0.114
V82,3.668,-1.852,0.032
V83,3.117,-2.635,0.065
V84,2.650,-2.602,0.086
V85,2.693,-2.608,0.081
V86,3.170,-2.475,0.067
V87,2.650,-2.601,0.087
V88,3.311,-3.109,0.054
V89,3.484,-1.113,0.115
V90,5.738,-1.492,0.269
V91,1.039,-3.170,0.117
V92,2.210,-2.148,0.111
