Clf,Score
rand1,370.08898272487545
rand2,370.08898272487545
rand3,370.08898272487545
majoritario,370.08898272487545
minoritario,370.08898272487545
pessimo,370.08898272487545
GaussianNB,374.4746869473411
RandomForestClassifier(5_estimators),390.8818780501203
RandomForestClassifier(3_estimators),394.6933970705928
BernoulliNB,403.3782230580187
DecisionTreeClassifier(),405.9971959510631
RandomForestClassifier,408.02607139211085
KNeighborsClassifier(8),412.02930901435036
KNeighborsClassifier(2),414.5094990302648
KNeighborsClassifier(3),415.48897368887606
KNeighborsClassifier(5),420.6895452969444
SVM,427.8125019486071
MLPClassifier,435.85192595713806
otimo,445.95399800934257
